antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,lift_vs_baseline,antecedents_str,consequents_str,has_distress,conf_safe,conf_diff,safe_ant_present
frozenset({'Attr21=LOW'}),frozenset({'Attr12=LOW'}),0.35015290519877673,0.5091743119266054,0.23547400611620795,0.6724890829694323,1.3207443251111375,1.0,0.057185141542518886,1.4986544342507648,0.3737051184110009,0.3774509803921569,0.33273476717136685,0.5674757727159474,8.063699371018789,Attr21=LOW,Attr12=LOW,True,0.45803306485799067,0.21445601811144166,True
frozenset({'Attr24=LOW'}),frozenset({'Attr12=LOW'}),0.4877675840978593,0.5091743119266054,0.441131498470948,0.9043887147335423,1.7761868451523626,1.0,0.19277277445781785,5.133553917882389,0.8531208774153496,0.7936726272352134,0.8052031758122639,0.8853775405499544,10.84436743263064,Attr24=LOW,Attr12=LOW,True,0.753195240193918,0.15119347453962428,True
frozenset({'Attr12=LOW'}),frozenset({'Attr24=LOW'}),0.5091743119266054,0.4877675840978593,0.441131498470948,0.8663663663663664,1.7761868451523626,1.0,0.19277277445781785,3.8331099886609654,0.8903286415393836,0.7936726272352134,0.7391152346376227,0.8853775405499544,10.388448081108633,Attr12=LOW,Attr24=LOW,True,0.7578713968957871,0.10849496947057935,True
frozenset({'Attr25=LOW'}),frozenset({'Attr12=LOW'}),0.47553516819571867,0.5091743119266054,0.30428134556574926,0.639871382636656,1.2566843370701895,1.0,0.062151053502791626,1.3629177588466583,0.3894545614369226,0.4471910112359551,0.26628001322234596,0.6187344901171268,7.672586211982655,Attr25=LOW,Attr12=LOW,True,0.5133948177426438,0.12647656489401216,True
frozenset({'Attr29=LOW'}),frozenset({'Attr12=LOW'}),0.36926605504587157,0.5091743119266054,0.22324159021406728,0.6045548654244306,1.1873239699326656,1.0,0.03522080071823361,1.2411979441855996,0.25013698630136993,0.3407234539089849,0.19432673516379328,0.5214966519314346,7.249112010181016,Attr29=LOW,Attr12=LOW,True,0.37545280204559983,0.22910206337883077,True
frozenset({'Attr30=HIGH'}),frozenset({'Attr12=LOW'}),0.44036697247706424,0.5091743119266054,0.2874617737003058,0.6527777777777777,1.282032032032032,1.0,0.06323822349409419,1.4135779816513758,0.3930938262992674,0.4341801385681293,0.29257528556593965,0.6086711711711712,7.8273445463812426,Attr30=HIGH,Attr12=LOW,True,0.4858695652173913,0.1669082125603864,True
frozenset({'Attr41=LOW'}),frozenset({'Attr12=LOW'}),0.5160550458715596,0.5091743119266054,0.42660550458715596,0.8266666666666668,1.623543543543544,1.0,0.1638435316892518,2.8316866619618932,0.793609539825715,0.7126436781609197,0.6468535825545174,0.8322522522522524,9.912415902140674,Attr41=LOW,Attr12=LOW,True,0.6105309931126417,0.21613567355402508,True
frozenset({'Attr12=LOW'}),frozenset({'Attr41=LOW'}),0.5091743119266054,0.5160550458715596,0.42660550458715596,0.8378378378378379,1.623543543543544,1.0,0.1638435316892518,2.9843272171253843,0.7824841724449806,0.7126436781609197,0.6649161009350585,0.8322522522522524,10.046367468385819,Attr12=LOW,Attr41=LOW,True,0.6093126385809313,0.22852519925690662,True
frozenset({'Attr45=LOW'}),frozenset({'Attr12=LOW'}),0.4709480122324159,0.5091743119266054,0.45489296636085624,0.9659090909090908,1.8970106470106471,1.0,0.21509833627921332,14.397553516819539,0.8937776266575995,0.8660844250363902,0.9305437553101102,0.9296512421512422,11.582047539616346,Attr45=LOW,Attr12=LOW,True,0.9195175438596491,0.046391547049441706,True
frozenset({'Attr12=LOW'}),frozenset({'Attr45=LOW'}),0.5091743119266054,0.4709480122324159,0.45489296636085624,0.8933933933933934,1.8970106470106471,1.0,0.21509833627921332,4.962656673988889,0.9633864760857614,0.8660844250363902,0.7984950268187263,0.9296512421512422,10.712524451056561,Attr12=LOW,Attr45=LOW,True,0.9297117516629713,-0.036318358269577855,True
frozenset({'Attr55=LOW'}),frozenset({'Attr12=LOW'}),0.463302752293578,0.5091743119266054,0.28363914373088683,0.6122112211221121,1.2023607766182023,1.0,0.04773728361810173,1.2657036892445832,0.31358997396733246,0.4117647058823529,0.20992566546374256,0.5846341390895846,7.340918036757803,Attr55=LOW,Attr12=LOW,True,0.44945295404814006,0.16275826707397206,True
frozenset({'Attr56=LOW'}),frozenset({'Attr12=LOW'}),0.44954128440366975,0.5091743119266054,0.37996941896024466,0.8452380952380952,1.6600171600171603,1.0,0.15107454479140367,3.1714890613973186,0.7223004694835681,0.656538969616909,0.6846906987093904,0.7957421707421708,10.135102664919179,Attr56=LOW,Attr12=LOW,True,0.7310374891020053,0.11420060613608995,True
frozenset({'Attr12=LOW'}),frozenset({'Attr56=LOW'}),0.5091743119266054,0.44954128440366975,0.37996941896024466,0.7462462462462464,1.6600171600171603,1.0,0.15107454479140367,2.169263340752403,0.8100566012899829,0.656538969616909,0.5390140140140142,0.7957421707421708,8.948108659117835,Attr12=LOW,Attr56=LOW,True,0.743680709534368,0.0025655367118783134,True
frozenset({'Attr57=LOW'}),frozenset({'Attr12=LOW'}),0.43425076452599387,0.5091743119266054,0.36009174311926606,0.8292253521126761,1.6285687095546253,1.0,0.13898240888814076,2.8741133074813217,0.6822172490962302,0.6173001310615991,0.6520666052389102,0.7682162796599417,9.943096653314383,Attr57=LOW,Attr12=LOW,True,0.7610677083333334,0.06815764377934275,True
frozenset({'Attr12=LOW'}),frozenset({'Attr57=LOW'}),0.5091743119266054,0.43425076452599387,0.36009174311926606,0.7072072072072073,1.6285687095546253,1.0,0.13898240888814076,1.9322512350035292,0.7863563307339723,0.6173001310615991,0.48246895544192864,0.7682162796599417,8.479998346970826,Attr12=LOW,Attr57=LOW,True,0.7776053215077605,-0.0703981143005532,True
frozenset({'Attr58=HIGH'}),frozenset({'Attr12=LOW'}),0.42201834862385323,0.5091743119266054,0.38837920489296635,0.9202898550724636,1.8074161117639378,1.0,0.17349830261201357,6.157631359466213,0.7729033870766154,0.7154929577464788,0.8375998916429633,0.8415263089176133,11.035035234676238,Attr58=HIGH,Attr12=LOW,True,0.8029418126757517,0.11734804239671193,True
frozenset({'Attr12=LOW'}),frozenset({'Attr58=HIGH'}),0.5091743119266054,0.42201834862385323,0.38837920489296635,0.7627627627627628,1.8074161117639378,1.0,0.17349830261201357,2.436302403901986,0.9101479137537714,0.7154929577464788,0.5895419228752562,0.8415263089176133,9.146155329641568,Attr12=LOW,Attr58=HIGH,True,0.823059866962306,-0.06029710419954326,True
frozenset({'cash_to_current_liabilities=LOW'}),frozenset({'Attr12=LOW'}),0.4288990825688073,0.5091743119266054,0.2691131498470948,0.6274509803921569,1.2322911146440558,1.0,0.05072875459416998,1.317479478512796,0.33007028112449804,0.4022857142857143,0.24097489463074956,0.5779897544603427,7.52365533369311,cash_to_current_liabilities=LOW,Attr12=LOW,True,0.43705308775731316,0.1903978926348437,True
frozenset({'retained_earnings_to_assets=LOW'}),frozenset({'Attr12=LOW'}),0.4487767584097859,0.5091743119266054,0.3172782874617737,0.7069846678023851,1.3884924106389187,1.0,0.08877269028981852,1.6750853424365273,0.5075881890947982,0.4952267303102626,0.40301549141046694,0.6650538954627542,8.477329915758874,retained_earnings_to_assets=LOW,Attr12=LOW,True,0.5652647635650467,0.14171990423733838,True
frozenset({'Attr12=LOW'}),frozenset({'retained_earnings_to_assets=LOW'}),0.5091743119266054,0.4487767584097859,0.3172782874617737,0.6231231231231232,1.3884924106389185,1.0,0.08877269028981852,1.4626082824664648,0.5700484179709494,0.4952267303102626,0.31628993764916113,0.6650538954627542,7.471760751577267,Attr12=LOW,retained_earnings_to_assets=LOW,True,0.5751662971175165,0.04795682600560669,True
frozenset({'working_capital_to_assets=LOW'}),frozenset({'Attr12=LOW'}),0.4648318042813456,0.5091743119266054,0.29128440366972475,0.6266447368421052,1.2307076813655762,1.0,0.05460398956316809,1.3146344420644223,0.350281214848144,0.42665173572228443,0.23933226758484993,0.5993584044570887,7.513987807822307,working_capital_to_assets=LOW,Attr12=LOW,True,0.46694395796847626,0.15970077887362893,True
frozenset({'Attr12=MID'}),frozenset({'Attr24=MID'}),0.30504587155963303,0.3440366972477064,0.25,0.8195488721804511,2.382155388471178,1.0,0.1450530258395758,3.6351299694189603,0.8348926635782845,0.6264367816091955,0.7249066722750934,0.7731077694235589,9.827067669172932,Attr12=MID,Attr24=MID,False,0.6036894384755727,0.21585943370487848,True
