transition,n,n_default,n_warned,n_warned_default,warning_rate,precision,recall,dr_baseline,dr_warned
CCC→B,4970,796,4963,796,0.9986,0.1604,1.0,0.1602,0.1604
B→BB,4271,306,4218,300,0.9876,0.0711,0.9804,0.0716,0.0711
BB→BBB,3073,127,2893,120,0.9414,0.0415,0.9449,0.0413,0.0415
BBB→A,2148,60,1885,59,0.8776,0.0313,0.9833,0.0279,0.0313
A→AA,1222,19,1083,16,0.8863,0.0148,0.8421,0.0155,0.0148
