factor_id,variable,definition,direction,composite_score,n_analyses,NB03_OR,NB03_rb,NB04_rule_freq,NB05_cluster_dev,threshold,risk_signal,risk_direction,risky_median,safe_median,existing_code_gap
N01,Attr45,profit on sales / sales,risk-reducing,0.6804,3,0.8705,0.2024,0.8387,1.0,-0.0009,value <= -0.0009 (bottom tertile),Upgrade suppression signal,0.0068,0.101,D07 — profit margin not included as criterion
N02,Attr24,gross profit (3-year avg) / total assets,risk-reducing,0.3958,2,0.7329,0.2714,0.9032,0.0129,-0.0017,value <= -0.0017 (bottom tertile),Upgrade suppression signal,0.0013,0.0729,"D07 — profitability assessed qualitatively, no 3-yr avg threshold"
N03,Attr12,gross profit / short-term liabilities,risk-reducing,0.3623,2,0.7687,0.2507,0.7581,0.078,-0.0183,value <= -0.0183 (bottom tertile),Upgrade suppression signal,-0.0256,0.0484,D02 — liquidity coverage of short-term debt not assessed
N04,Attr56,net profit / total assets - ROA,risk-reducing,0.2955,2,0.8341,0.1283,0.7419,0.0164,0.0007,value <= 0.0007 (bottom tertile),Upgrade suppression signal,0.0084,0.0225,D07 — net profit / assets (ROA) not set as criterion
N05,working_capital_to_assets,Attr3  — working capital / total assets,risk-reducing,0.2711,2,0.7089,0.1966,0.5968,0.0199,-0.0233,value <= -0.0233 (bottom tertile),Upgrade suppression signal,-0.0019,0.0928,D07/D08 — no working capital floor defined
N06,Attr55,profit on operating activities (×1000) / short-term liabilities,risk-reducing,0.253,2,0.7743,0.217,0.5242,0.0178,-66.577,value <= -66.577 (bottom tertile),Upgrade suppression signal,-0.44,307.03,D07/D04 — operating cash vs debt not assessed
N07,cash_to_current_liabilities,Attr5  — cash / current liabilities,risk-reducing,0.2285,2,0.8871,0.1589,0.5081,0.0186,-59.678,value <= -59.678 (bottom tertile),Upgrade suppression signal,-45.2515,-24.9325,D02 — cash coverage of current liabilities missing
