feature,OR_mle,CI_lo_mle,CI_hi_mle,p_mle,OR_firth,CI_lo_firth,CI_hi_firth,p_firth,rank_biserial,cohens_d,or_dist,direction,p_mle_fdr,p_firth_fdr,sig_mle_fdr,sig_firth_fdr
retained_earnings_to_assets,0.8055,0.7706,0.8419,8.826312096351766e-22,0.8051,0.7703,0.8415,0.0,0.1803,-0.2838,0.1945263459565829,risk-reducing,2.04770440635361e-21,0.0,True,True
Attr63,0.8314,0.7698,0.8979,2.575794262388582e-06,0.8333,0.7718,0.8997,3.158041161910319e-06,0.1851,-0.1371,0.16864498333544886,risk-reducing,4.2684590633867935e-06,5.233325354022814e-06,True,True
Attr56,0.8341,0.7906,0.88,3.182165658460296e-11,0.8339,0.7904,0.8797,2.9118041311448906e-11,0.1283,-0.1906,0.16588309448608007,risk-reducing,5.953729296474103e-11,5.44789160020657e-11,True,True
Attr29,0.8421,0.7958,0.891,2.490834751682533e-09,0.8421,0.7958,0.891,2.4762201178418763e-09,0.0824,-0.1726,0.15792670170619316,risk-reducing,4.249071046987851e-09,4.2241402010243775e-09,True,True
Attr45,0.8705,0.7994,0.948,0.001432038600796151,0.8747,0.8041,0.9516,0.0018314040406064436,0.2024,-0.0935,0.12949326317623067,risk-reducing,0.0020258107035652866,0.0025907666915896033,True,True
Attr21,0.8728,0.8205,0.9284,1.5776215674371374e-05,0.8733,0.821,0.9289,1.6900809396203087e-05,0.0794,-0.1245,0.12718389505507643,risk-reducing,2.541723636426499e-05,2.7229081804993863e-05,True,True
Attr46,0.8766,0.8085,0.9504,0.0014073600457273157,0.8805,0.8129,0.9537,0.0017916239216049235,0.2992,-0.0941,0.12341646529165162,risk-reducing,0.0020258107035652866,0.0025907666915896033,True,True
cash_to_current_liabilities,0.8871,0.8393,0.9375,2.1574810321941678e-05,0.8868,0.8391,0.9372,2.041286693765798e-05,0.1589,-0.1217,0.11293886995410185,risk-reducing,3.3819972937097766e-05,3.199854817254494e-05,True,True
Attr58,1.1079,1.0475,1.1719,0.00034153780214872455,1.1081,1.0477,1.172,0.000333321551849286,-0.0701,0.1031,0.10793766777808944,risk-increasing,0.0005212945401217375,0.0005087539475594365,True,True
Attr53,0.8985,0.8348,0.9672,0.004409512581750608,0.9017,0.8382,0.9699,0.0054407591868939065,0.1803,-0.0833,0.10145100579384825,risk-reducing,0.006089326898607982,0.00751342935332968,True,True
Attr54,0.899,0.8352,0.9677,0.004575734747386515,0.9021,0.8387,0.9704,0.00564699173343608,0.2014,-0.083,0.10098209653591672,risk-reducing,0.006171921287172508,0.007616872570681224,True,True
Attr28,0.9044,0.8415,0.972,0.006308561334033853,0.9074,0.8447,0.9746,0.007711042253117473,0.1894,-0.0798,0.09558905420431307,risk-reducing,0.008315830849408262,0.009938676681795855,True,True
Attr50,0.9058,0.8422,0.9743,0.007785443180665391,0.909,0.8457,0.977,0.009564029145216146,0.1834,-0.0777,0.09415868521426496,risk-reducing,0.00960756818039559,0.011802418945160351,True,True
current_assets_to_short_liabilities,0.9061,0.843,0.974,0.007460330418464262,0.9091,0.8463,0.9766,0.0091208410462007,0.1985,-0.0781,0.09389565567607994,risk-reducing,0.009406503571107113,0.011500190884340013,True,True
Attr57,0.9128,0.864,0.9643,0.0011246916532440736,0.9125,0.8638,0.964,0.0010782598484917472,0.0979,-0.0939,0.08721788824510424,risk-reducing,0.001672618356106571,0.0016035659285261882,True,True
Attr33,0.9131,0.8551,0.9751,0.0066569764541899255,0.9148,0.8568,0.9766,0.007625836853392132,0.1268,-0.0786,0.08687031235350573,risk-reducing,0.008580102985400349,0.009938676681795855,True,True
book_value_equity_to_liabilities,0.9274,0.8653,0.9939,0.03301211103757637,0.9305,0.8687,0.9966,0.039734613991638135,0.1887,-0.062,0.07263206519317011,risk-reducing,0.03988963417040478,0.04744451236516554,True,True
Attr17,0.9284,0.8665,0.9947,0.03487770464599787,0.9315,0.8699,0.9974,0.041865999532785914,0.1881,-0.0614,0.07158883626111445,risk-reducing,0.04128381366260972,0.04856455945803166,True,True
Attr47,0.9376,0.8825,0.9962,0.03726521052412101,0.9386,0.8834,0.9971,0.04008243286022606,0.0546,-0.0602,0.06238201637205276,risk-reducing,0.04322764420798037,0.04744451236516554,True,True
Attr27,0.9424,0.8668,1.0246,0.1645903149542315,0.953,0.8819,1.03,0.22464208337862068,0.0445,-0.0412,0.05757806124266984,risk-reducing,0.1835815051412582,0.24883861403612198,False,False
Attr15,0.953,0.8994,1.0097,0.10223260119713504,0.9533,0.8998,1.01,0.10458737924649242,0.137,-0.0472,0.04704263768480166,risk-reducing,0.11626452685164378,0.1189425097313051,False,False
sales_to_assets,0.9639,0.9092,1.0219,0.21792111254652702,0.9647,0.91,1.0227,0.22738700937783562,0.0842,-0.0356,0.03607044704971951,risk-reducing,0.23847970806978427,0.24883861403612198,False,False
Attr34,0.9682,0.9122,1.0275,0.28656908412518345,0.9695,0.9137,1.0288,0.3071849169151548,0.0377,-0.0308,0.03184024115343431,risk-reducing,0.30779642369001187,0.3299393552051663,False,False
Attr40,0.9836,0.927,1.0435,0.5832016125803927,0.986,0.9297,1.0457,0.637762700331683,0.18,-0.0159,0.016433341059327256,risk-reducing,0.6150126096302323,0.6605399396292431,False,False
Attr60,1.0143,0.9606,1.071,0.6083836615237688,1.0165,0.963,1.0729,0.5539507812735147,0.036,0.0148,0.014325619807160628,risk-increasing,0.6301116494353319,0.5841662784338882,False,False
Attr64,1.0088,0.9543,1.0664,0.7579886320635717,1.0105,0.9561,1.068,0.711595402629758,0.0689,0.0089,0.008772022048290307,risk-increasing,0.7712866782401256,0.7240795325004555,False,False
Attr59,0.9958,0.9407,1.0541,0.8849066512031127,0.9969,0.9418,1.0551,0.9136276601269349,0.0677,-0.0042,0.004193855621705822,risk-reducing,0.8849066512031127,0.9136276601269349,False,False
