warning_threshold,n_defaulters_flagged,n_defaulters_missed,coverage_rate,overall_warning_rate,precision,lift_vs_baseline
1,1291,17,0.987,0.9591,0.0858,1.029
3,1231,77,0.9411,0.8494,0.0924,1.108
5,1176,132,0.8991,0.7606,0.0986,1.182
10,1010,298,0.7722,0.5958,0.1081,1.296
20,811,497,0.62,0.4459,0.116,1.391
