warning_count_bracket,n_firms,n_defaulters,default_rate,lift_vs_baseline,pct_risky_in_bracket
0,642,17,0.0265,0.318,0.0265
1–2,1720,60,0.0349,0.418,0.0349
3–4,1393,55,0.0395,0.473,0.0395
5–9,2585,166,0.0642,0.77,0.0642
10–19,2351,199,0.0846,1.015,0.0846
20–49,2245,195,0.0869,1.042,0.0869
50+,4748,616,0.1297,1.556,0.1297
