factor_id,layer,variable,direction,n_triggered,n_hit,hit_rate,lift_vs_baseline,coverage
L2-105,2,Attr56=LOW & Attr57=LOW,composite,3264,360,0.1103,1.323,0.2752
L1-46,1,Attr57,risk-reducing,5176,568,0.1097,1.316,0.4343
L1-39,1,cash_to_current_liabilities,risk-reducing,5176,561,0.1084,1.3,0.4289
L2-57,2,Attr12=LOW & Attr57=LOW & Attr58=HIGH,composite,3172,342,0.1078,1.293,0.2615
L2-53,2,Attr45=LOW & Attr56=LOW & Attr57=LOW,composite,2820,303,0.1074,1.288,0.2317
L1-40,1,Attr58,risk-increasing,5167,552,0.1068,1.281,0.422
L2-10,2,Attr58=HIGH,composite,5178,552,0.1066,1.278,0.422
L2-82,2,Attr56=LOW & Attr57=LOW & Attr58=HIGH,composite,3112,328,0.1054,1.264,0.2508
L1-31,1,Attr52,risk-increasing,5175,535,0.1034,1.24,0.409
L1-47,1,Attr33,risk-reducing,5178,531,0.1025,1.23,0.406
L2-97,2,Attr57=LOW & Attr58=HIGH,composite,3540,362,0.1023,1.226,0.2768
L2-58,2,Attr45=LOW & Attr57=LOW & Attr58=HIGH,composite,3133,310,0.0989,1.186,0.237
L1-50,1,Attr47,risk-reducing,5176,489,0.0945,1.133,0.3739
L1-35,1,Attr29,risk-reducing,5176,483,0.0933,1.119,0.3693
L1-37,1,Attr21,risk-reducing,5176,458,0.0885,1.061,0.3502
