K,inertia,silhouette,davies_bouldin,min_cluster_n,eligible
2,17495.4,0.3478,1.7624,233,False
3,16250.4,0.3638,1.579,25,False
4,15136.1,0.1395,1.9309,25,False
5,14282.2,0.1408,2.0154,25,False
6,13599.7,0.1516,1.8103,25,False
7,12969.0,0.1585,1.7725,24,False
8,12430.0,0.1034,1.718,10,False
