warning_level,n_firms,n_defaulters,default_rate,lift_vs_baseline,mean_l1,mean_l2
No warning,642,17,0.0265,0.318,0.0,0.0
Low (1–4),3113,115,0.0369,0.443,2.07,0.36
Moderate (5–14),3986,276,0.0692,0.83,7.48,1.09
High (15–29),2063,177,0.0858,1.029,16.1,4.5
Very high (30+),5880,723,0.123,1.474,32.35,54.71
