factor_id,layer,variable,definition,direction,OR_mle,rank_biserial,firth_fdr_q,trigger_bin,trigger_condition,trigger_pct,threshold_p33,threshold_p67,risky_median,safe_median
L1-01,1,Attr48,Attr48,risk-reducing,0.7565,0.1772,0.0,LOW,<= -0.0387,bottom 33%,-0.0387,0.0336,-0.0264,-0.0003
L1-02,1,equity_to_assets,equity_to_assets,risk-reducing,0.7614,0.1585,0.0,LOW,<= 0.2263,bottom 33%,0.2263,0.4666,0.2629,0.349
L1-03,1,Attr49,(net profit + depreciation) / total liabilities,risk-reducing,0.7865,0.158,0.0,LOW,<= -0.0233,bottom 33%,-0.0233,0.0166,-0.0137,0.0
L1-04,1,Attr62,Attr62,risk-increasing,1.2562,-0.1529,0.0,HIGH,>= 128.7562,top 33%,67.2891,128.7562,113.1,91.452
L1-05,1,Attr38,total liabilities / total assets (alt),risk-reducing,0.7349,0.1775,0.0,LOW,<= 0.3351,bottom 33%,0.3351,0.5707,0.3702,0.4624
L1-06,1,Attr51,Attr51,risk-increasing,1.3184,-0.1509,0.0,HIGH,>= 0.6149,top 33%,0.3699,0.6149,0.5683,0.4826
L1-07,1,retained_earnings_to_assets,Attr6  — retained earnings / total assets,risk-reducing,0.7993,0.1761,0.0,LOW,<= -0.0029,bottom 33%,-0.0029,0.0,0.0,0.0
L1-08,1,working_capital_to_assets,Attr3  — working capital / total assets,risk-reducing,0.7235,0.1868,0.0,LOW,<= -0.0225,bottom 33%,-0.0225,0.2034,0.0004,0.094
L1-09,1,Attr32,Attr32,risk-increasing,1.2291,-0.1407,0.0,HIGH,>= 133.3662,top 33%,68.7947,133.3662,114.36,94.2965
L1-10,1,Attr42,Attr42,risk-reducing,0.7538,0.2034,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.0362,0.005,0.0182
L1-11,1,Attr25,equity / total assets (alt),risk-reducing,0.7449,0.2077,0.0,LOW,<= 0.0917,bottom 33%,0.0917,0.3494,0.1239,0.2279
L1-12,1,Attr31,Attr31,risk-reducing,0.7787,0.2204,0.0,LOW,<= -0.0000,bottom 33%,-0.0,0.0356,0.0009,0.0173
L1-13,1,total_liabilities_to_assets,total_liabilities_to_assets,risk-increasing,1.3144,-0.1591,0.0,HIGH,>= 0.7575,top 33%,0.5087,0.7575,0.7113,0.6296
L1-14,1,Attr11,Attr11,risk-reducing,0.7153,0.2245,0.0,LOW,<= 0.0041,bottom 33%,0.0041,0.0742,0.0064,0.0389
L1-15,1,Attr22,Attr22,risk-reducing,0.6946,0.2207,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.0688,0.0068,0.0339
L1-16,1,Attr19,Attr19,risk-reducing,0.7564,0.2395,0.0,LOW,<= -0.0048,bottom 33%,-0.0048,0.0283,-0.0061,0.0122
L1-17,1,net_profit_to_assets,net_profit_to_assets,risk-reducing,0.7059,0.2441,0.0,LOW,<= -0.0100,bottom 33%,-0.01,0.0449,-0.0097,0.0174
L1-18,1,ebit_to_assets,ebit_to_assets,risk-reducing,0.6977,0.2472,0.0,LOW,<= -0.0093,bottom 33%,-0.0093,0.0543,-0.0111,0.0219
L1-19,1,Attr14,Attr14,risk-reducing,0.6977,0.2472,0.0,LOW,<= -0.0093,bottom 33%,-0.0093,0.0544,-0.0111,0.0219
L1-20,1,Attr18,Attr18,risk-reducing,0.6975,0.2473,0.0,LOW,<= -0.0093,bottom 33%,-0.0093,0.0544,-0.0111,0.0219
L1-21,1,Attr23,Attr23,risk-reducing,0.7639,0.2358,0.0,LOW,<= -0.0054,bottom 33%,-0.0054,0.0236,-0.0058,0.0096
L1-22,1,Attr39,Attr39,risk-reducing,0.725,0.2562,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.0334,-0.0104,0.0163
L1-23,1,Attr24,gross profit (3-year avg) / total assets,risk-reducing,0.7506,0.265,0.0,LOW,<= -0.0026,bottom 33%,-0.0026,0.1463,0.0014,0.0696
L1-24,1,Attr35,total sales / total assets (alt),risk-reducing,0.6514,0.2659,0.0,LOW,<= -0.0004,bottom 33%,-0.0004,0.0636,-0.0199,0.0285
L1-25,1,Attr13,gross profit + depreciation / sales,risk-reducing,0.73,0.2681,0.0,LOW,<= 0.0102,bottom 33%,0.0102,0.0534,0.0058,0.0324
L1-26,1,Attr30,total liabilities / cash,risk-increasing,1.1918,-0.1362,4.410104760010059e-12,HIGH,>= 0.4228,top 33%,0.1954,0.4228,0.3489,0.2861
L1-27,1,Attr52,short-term liabilities / sales,risk-increasing,1.1799,-0.1045,5.1446542499362565e-11,HIGH,>= 0.3646,top 33%,0.1871,0.3646,0.3006,0.2585
L1-28,1,Attr29,log(total assets),risk-reducing,0.825,0.0934,2.0472459441985997e-09,LOW,<= 3.5458,bottom 33%,3.5458,4.2331,3.7968,3.9051
L1-29,1,Attr56,net profit / total assets - ROA,risk-reducing,0.8326,0.1494,2.97344685272339e-09,LOW,<= 0.0003,bottom 33%,0.0003,0.0457,0.0058,0.0227
L1-30,1,Attr55,profit on operating activities (×1000) / short-term liabilities,risk-reducing,0.8169,0.203,1.228414826896322e-07,LOW,<= -58.9968,bottom 33%,-58.9968,1157.858,1.1813,315.195
L1-31,1,Attr21,sales (t) / sales (t-1),risk-reducing,0.8481,0.0898,4.913020439224445e-06,LOW,<= 0.9648,bottom 33%,0.9648,1.0745,1.0452,1.0452
L1-32,1,Attr41,short-term liabilities / total assets,risk-reducing,0.8366,0.165,1.7668372180139336e-05,LOW,<= 0.0708,bottom 33%,0.0708,0.2239,0.0622,0.1339
L1-33,1,Attr16,Attr16,risk-reducing,0.7738,0.2836,3.864530572402399e-05,LOW,<= 0.0274,bottom 33%,0.0274,0.1789,0.0108,0.1032
L1-34,1,Attr12,gross profit / short-term liabilities,risk-reducing,0.8306,0.2475,3.957055753518327e-05,LOW,<= -0.0182,bottom 33%,-0.0182,0.1242,-0.0251,0.0466
L1-35,1,Attr26,Attr26,risk-reducing,0.7971,0.2825,0.0001274357125796,LOW,<= 0.0246,bottom 33%,0.0246,0.1622,0.0116,0.0945
L1-36,1,Attr58,total costs / total sales,risk-increasing,1.1182,-0.0924,0.0005938540919602,HIGH,>= 0.9992,top 33%,0.9568,0.9992,0.9894,0.9811
L1-37,1,cash_to_current_liabilities,Attr5  — cash / current liabilities,risk-reducing,0.9017,0.1322,0.0014251713741813,LOW,<= -60.1522,bottom 33%,-60.1522,-2.0861,-43.869,-25.9515
L1-38,1,Attr57,total assets / current liabilities,risk-reducing,0.9188,0.0861,0.0086482380147407,LOW,<= 0.0049,bottom 33%,0.0049,0.1629,0.0314,0.0685
L1-39,1,Attr63,sales / short-term liabilities,risk-reducing,0.9054,0.1552,0.011605421209513,LOW,<= 2.8037,bottom 33%,2.8037,5.3688,3.1948,3.9516
