bracket,n_train,dr_train,lift_train,n_holdout,dr_holdout,lift_holdout
0,810,0.027160493827160494,0.3164678023771754,192,0.046875,0.5577059659090909
1–2,1851,0.04376012965964344,0.5098829260342439,486,0.03909465020576132,0.4651374859708194
3–4,1492,0.06702412868632708,0.780949670745528,380,0.06842105263157895,0.8140550239234451
5–9,2014,0.07944389275074479,0.9256618937456427,512,0.05859375,0.6971324573863636
10–19,1634,0.06976744186046512,0.8129141223853449,403,0.06947890818858561,0.8266411008346494
20–49,3888,0.11188271604938271,1.303631572292342,957,0.11912225705329153,1.4172841265317755
50+,825,0.19636363636363635,2.28798374809548,211,0.18009478672985782,2.1427186557518314
