warning_count_bracket,n_firms_train,default_rate_train,lift_train,n_firms_holdout,default_rate_holdout,lift_holdout
0,732,0.0273,0.313,194,0.0258,0.351
1–2,1974,0.0461,0.528,483,0.0228,0.31
3–4,1158,0.0492,0.564,280,0.0464,0.633
5–9,1759,0.0705,0.808,435,0.0506,0.69
10–19,1806,0.0842,0.964,439,0.0638,0.87
20–49,3757,0.1115,1.278,979,0.095,1.295
50+,1351,0.171,1.959,353,0.17,2.317
