factor_id,layer,variable,definition,direction,OR_mle,rank_biserial,firth_fdr_q,trigger_bin,trigger_condition,trigger_pct,threshold_p33,threshold_p67,risky_median,safe_median
L1-01,1,Attr49,(net profit + depreciation) / total liabilities,risk-reducing,0.7825,0.1757,0.0,LOW,<= -0.0227,bottom 33%,-0.0227,0.0174,-0.0177,0.0
L1-02,1,Attr48,Attr48,risk-reducing,0.7592,0.184,0.0,LOW,<= -0.0386,bottom 33%,-0.0386,0.0353,-0.0284,0.0
L1-03,1,working_capital_to_assets,Attr3  — working capital / total assets,risk-reducing,0.7243,0.1853,0.0,LOW,<= -0.0224,bottom 33%,-0.0224,0.2077,0.005,0.0956
L1-04,1,Attr51,Attr51,risk-increasing,1.3188,-0.1418,0.0,HIGH,>= 0.6122,top 33%,0.3649,0.6122,0.56,0.477
L1-05,1,Attr62,Attr62,risk-increasing,1.299,-0.1725,0.0,HIGH,>= 127.2112,top 33%,66.5298,127.2112,119.01,91.098
L1-06,1,Attr30,total liabilities / cash,risk-increasing,1.2431,-0.1593,0.0,HIGH,>= 0.4241,top 33%,0.1913,0.4241,0.3679,0.2818
L1-07,1,Attr42,Attr42,risk-reducing,0.7523,0.2116,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.037,0.0034,0.0186
L1-08,1,Attr31,Attr31,risk-reducing,0.7773,0.2164,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.0354,0.001,0.0176
L1-09,1,Attr11,Attr11,risk-reducing,0.7132,0.2223,0.0,LOW,<= 0.0039,bottom 33%,0.0039,0.0743,0.0053,0.0383
L1-10,1,Attr25,equity / total assets (alt),risk-reducing,0.7307,0.2237,0.0,LOW,<= 0.0930,bottom 33%,0.093,0.3526,0.1215,0.2281
L1-11,1,Attr22,Attr22,risk-reducing,0.6929,0.2267,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.07,0.0053,0.0352
L1-12,1,Attr32,Attr32,risk-increasing,1.2729,-0.1539,0.0,HIGH,>= 131.6809,top 33%,67.8109,131.6809,117.52,93.803
L1-13,1,Attr19,Attr19,risk-reducing,0.7561,0.2368,0.0,LOW,<= -0.0045,bottom 33%,-0.0045,0.0289,-0.007,0.0122
L1-14,1,net_profit_to_assets,net_profit_to_assets,risk-reducing,0.7141,0.2429,0.0,LOW,<= -0.0097,bottom 33%,-0.0097,0.0451,-0.0097,0.0177
L1-15,1,ebit_to_assets,ebit_to_assets,risk-reducing,0.7072,0.2432,0.0,LOW,<= -0.0084,bottom 33%,-0.0084,0.0548,-0.0105,0.0225
