antecedents_str,consequents_str,support,confidence,lift,lift_vs_baseline,conf_safe,conf_diff
Attr30=HIGH & retained_earnings_to_assets=LOW,Attr26=LOW,0.20575022461814915,0.8178571428571428,1.5120847176079735,9.339590553202413,0.659969088098918,0.15788805475822487
Attr63=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,0.21203953279424978,0.8082191780821917,1.4942656897100985,9.2295289788182,0.6661400737230122,0.14207910435917948
Attr57=LOW,Attr26=LOW,0.36477987421383645,0.8071570576540755,1.4923020019418374,9.21740000250072,0.6943917637496614,0.11276529390441414
Attr57=LOW,Attr35=LOW,0.3611859838274933,0.7992047713717695,1.4874831279879255,9.126588179815984,0.6320780276347874,0.1671267437369821
Attr55=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,0.20575022461814915,0.7979094076655052,1.4752046025443644,9.11179566166089,0.6337493217580032,0.16416008590750197
Attr53=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,0.20844564240790656,0.7864406779661016,1.4540007883326762,8.980827508489803,0.6442548921224286,0.14218578584367303
Attr55=LOW & retained_earnings_to_assets=LOW,Attr13=LOW,0.20215633423180593,0.7839721254355401,1.4890119037709149,8.95263765883712,0.6060770482908301,0.17789507714470998
retained_earnings_to_assets=LOW & working_capital_to_assets=LOW,Attr26=LOW,0.20844564240790656,0.7837837837837839,1.4490886235072284,8.950486875015178,0.6381751442055585,0.14560863957822534
Attr25=LOW & Attr30=HIGH,Attr26=LOW,0.2174303683737646,0.7831715210355986,1.4479566493565137,8.943495087477501,0.641091658084449,0.1420798629511496
Attr25=LOW & Attr63=LOW,Attr26=LOW,0.22461814914645103,0.7788161993769471,1.4399043686155186,8.893759114178794,0.6446104589114194,0.1342057404655277
Attr53=LOW & cash_to_current_liabilities=LOW,Attr38=LOW,0.22731356693620844,0.7737003058103975,1.6786129441851314,8.835337724034279,0.6592228673514962,0.11447743845890135
retained_earnings_to_assets=LOW & working_capital_to_assets=LOW,Attr13=LOW,0.20575022461814915,0.7736486486486488,1.4694043446176557,8.83474782059688,0.6088096486628212,0.16483899998582763
Attr63=LOW & retained_earnings_to_assets=LOW,Attr13=LOW,0.20035938903863432,0.7636986301369862,1.4505061012670064,8.721122721510417,0.6087414428646657,0.15495718727232055
Attr53=LOW & retained_earnings_to_assets=LOW,Attr13=LOW,0.20215633423180593,0.7627118644067796,1.4486319199398392,8.709854264699164,0.611138986452584,0.1515728779541956
Attr53=LOW & cash_to_current_liabilities=LOW,Attr25=LOW,0.22371967654986524,0.7614678899082569,1.6235895813561108,8.695648590057452,0.6493970522554712,0.1120708376527857
Attr25=LOW & Attr52=HIGH,Attr26=LOW,0.20575022461814915,0.760797342192691,1.4065904349841614,8.687991212281315,0.6232914160743576,0.13750592611833345
Attr63=LOW & working_capital_to_assets=LOW,Attr25=LOW,0.22551662174303683,0.7606060606060605,1.6217520027864853,8.685806855618175,0.6394340483797353,0.12117201222632523
Attr55=LOW & Attr63=LOW,Attr38=LOW,0.22012578616352202,0.7585139318885449,1.6456647294190068,8.661915610335495,0.6559780119102154,0.10253591997832945
Attr52=HIGH & Attr55=LOW,Attr38=LOW,0.21114106019766396,0.7580645161290321,1.6446896811922276,8.656783468104221,0.647571035747021,0.11049348038201112
