feature,coef,se,p_value,OR_mle,OR_ci_low,OR_ci_high,direction,converged,n_iter,rank_biserial,OR_mle_standard,OR_diff_firth_vs_mle,fdr_q,sig_fdr
Attr52,0.20429274455860472,0.0236339166073714,0.0,1.2266571981194836,1.171132370973062,1.2848145256612944,risk-increasing,True,6,-0.1273183624869214,1.2262429610595833,0.0004142370599002909,0.0,True
Attr49,-0.2482968868719852,0.024057165554411078,0.0,0.7801282990432196,0.7441980636989518,0.8177932631846542,risk-reducing,True,6,0.16470444637685144,0.7802106143713652,8.231532814562126e-05,0.0,True
Attr38,-0.31898813477557647,0.027631730791288337,0.0,0.726884173899025,0.6885651550503701,0.7673356666243404,risk-reducing,True,6,0.1858187972784907,0.7267874177967267,9.675610229831211e-05,0.0,True
working_capital_to_assets,-0.335893619632889,0.029599757711756068,0.0,0.7146991317281606,0.674416046591673,0.7573883383623711,risk-reducing,True,6,0.1892822719908437,0.7149174297617462,0.00021829803358563993,0.0,True
Attr30,0.2150576999258578,0.0238820853090339,0.0,1.239933438969555,1.1832319946693315,1.2993520628256188,risk-increasing,True,6,-0.16397984701535528,1.2396370340230174,0.00029640494653770944,0.0,True
Attr25,-0.30230622259309126,0.02516194079930298,0.0,0.7391116975312989,0.703545505319765,0.7764758601923105,risk-reducing,True,6,0.21919030834175146,0.739311135540202,0.0001994380089030967,0.0,True
Attr13,-0.32685889266164553,0.026343094441343848,0.0,0.7211855004135044,0.6848945398416164,0.7593994341478515,risk-reducing,True,6,0.2701726752789959,0.7216071008324157,0.000421600418911372,0.0,True
Attr24,-0.2961296048372711,0.029953522929703692,0.0,0.7436910358181895,0.7012874415474116,0.788658578479535,risk-reducing,True,6,0.2676697680147735,0.7440360252985896,0.0003449894804000708,0.0,True
Attr35,-0.4218516827707384,0.02834191536749075,0.0,0.6558313032620725,0.6203938155956663,0.693293014092117,risk-reducing,True,6,0.2672271481203792,0.6561385800842864,0.00030727682221387553,0.0,True
retained_earnings_to_assets,-0.20189468284492038,0.0251763912675057,1.1102230246251565e-15,0.8171809865871238,0.7778360551872987,0.8585160849591962,risk-reducing,True,6,0.16910955677141337,0.8175590453022308,0.0003780587151069881,2.3438041630975527e-15,True
Attr55,-0.24727066758562802,0.04278135076421285,7.475814411961323e-09,0.7809292926767926,0.7181185771802348,0.8492337888755301,risk-reducing,True,7,0.20631287323337466,0.7804501878601751,0.0004791048166175038,1.521862219577841e-08,True
Attr41,-0.22488650798556456,0.04119685071242586,4.7928871094171654e-08,0.798606849116417,0.7366585055355144,0.8657646584722757,risk-reducing,True,7,0.16096218743215118,0.7976494729848579,0.0009573761315591067,9.420502249544084e-08,True
Attr29,-0.16988058888570542,0.03158006301857915,7.475029528691834e-08,0.8437655655673784,0.7931234656867836,0.8976412380142511,risk-reducing,True,6,0.08340369506532741,0.8437693235874696,3.7580200912268324e-06,1.4202556104514487e-07,True
Attr56,-0.15120906284143332,0.029981147913169696,4.571610612291721e-07,0.859667955245613,0.8106077265313437,0.91169744512372,risk-reducing,True,6,0.11844926949744228,0.8600392530372927,0.00037129779167965893,8.40586467421381e-07,True
Attr21,-0.130909659605999,0.034369358477952354,0.00013958294210891786,0.8772970261701712,0.8201464440252137,0.9384300544542321,risk-reducing,True,6,0.0832734093682046,0.8769205215272339,0.00037650464293736974,0.00024109780909722174,True
Attr12,-0.16817412262267817,0.04425795785136278,0.0001447768132405436,0.8452066522721381,0.774979946040279,0.9217971235193045,risk-reducing,True,7,0.24354590537855458,0.8430413941556533,0.002165258116484825,0.00024271406925620545,True
cash_to_current_liabilities,-0.11287973617587266,0.030906880166902934,0.0002599499029733998,0.8932580802891739,0.8407540525796839,0.9490409181539768,risk-reducing,True,6,0.15284053973266432,0.8935904614783471,0.00033238118917322534,0.00041158734637454974,True
Attr57,-0.1092855889956598,0.030428189387693406,0.00032866629124739255,0.8964743577245917,0.84457330445036,0.9515648550847072,risk-reducing,True,6,0.10990808747466374,0.8968231416253098,0.00034878390071813037,0.0005063237459757129,True
Attr63,-0.1351469358525269,0.03964548029224064,0.0006522865268514533,0.8735875409270488,0.8082768448542457,0.9441754969494218,risk-reducing,True,7,0.1775871536225735,0.8713915542497581,0.0021959866772907066,0.00097842979027718,True
Attr53,-0.13488022382010312,0.04436443213332272,0.002363595712830735,0.8738205683098116,0.8010491980639808,0.9532028587591139,risk-reducing,True,7,0.1706304885146488,0.8697058840027645,0.0041146843070470895,0.0034544860418295356,True
Attr58,0.07415781193557393,0.03128991522691051,0.017786989220623273,1.076976751871865,1.0129133716859466,1.145091926412136,risk-increasing,True,6,-0.05702223931317785,1.0767368987992938,0.00023985307257112787,0.02413948537084587,True
Attr46,-0.08754738924876448,0.039865943093848145,0.028088750916158034,0.916175453755625,0.8473146193177054,0.9906325736952689,risk-reducing,True,6,0.289990080393704,0.9123793365045907,0.0037961172510343477,0.03723392563304669,True
