factor_id,layer,antecedents_str,consequents_str,n_conditions,conditions_detail,support,confidence,lift_vs_baseline,conf_safe,conf_diff,cond1_var,cond1_bin,cond1_p33,cond1_p67,cond2_var,cond2_bin,cond2_p33,cond2_p67,cond3_var,cond3_bin,cond3_p33,cond3_p67
L2-01,2,Attr57=LOW,Attr13=LOW,1,Attr57 <= 0.0037,0.3473,0.8074,9.4072,0.6818,0.1255,Attr57,LOW,0.003676,0.159526,,,,,,,,
L2-02,2,Attr30=HIGH & retained_earnings_to_assets=LOW,Attr35=LOW,2,Attr30 >= 0.4253 AND retained_earnings_to_assets <= -0.0033,0.2058,0.7978,9.2962,0.5736,0.2242,Attr30,HIGH,0.19448,0.425287,retained_earnings_to_assets,LOW,-0.003305,0.0,,,,
L2-03,2,Attr52=HIGH & Attr55=LOW,Attr38=LOW,2,Attr52 >= 0.3577 AND Attr55 <= -69.4560,0.2076,0.7936,9.2468,0.6498,0.1438,Attr52,HIGH,0.185883,0.357677,Attr55,LOW,-69.45603,1172.971,,,,
L2-04,2,Attr38=LOW & Attr63=LOW,Attr25=LOW,2,Attr38 <= 0.3419 AND Attr63 <= 2.8381,0.2281,0.7929,9.2385,0.6798,0.1131,Attr38,LOW,0.341941,0.579746,Attr63,LOW,2.838087,5.4176,,,,
L2-05,2,Attr63=LOW & working_capital_to_assets=LOW,Attr38=LOW,2,Attr63 <= 2.8381 AND working_capital_to_assets <= -0.0224,0.2244,0.7928,9.2371,0.6724,0.1204,Attr63,LOW,2.838087,5.4176,working_capital_to_assets,LOW,-0.022365,0.202368,,,,
L2-06,2,Attr55=LOW & Attr63=LOW,Attr38=LOW,2,Attr55 <= -69.4560 AND Attr63 <= 2.8381,0.2197,0.7919,9.2276,0.6589,0.133,Attr55,LOW,-69.45603,1172.971,Attr63,LOW,2.838087,5.4176,,,,
L2-07,2,Attr52=HIGH & working_capital_to_assets=LOW,Attr38=LOW,2,Attr52 >= 0.3577 AND working_capital_to_assets <= -0.0224,0.2104,0.7902,9.2073,0.6623,0.1279,Attr52,HIGH,0.185883,0.357677,working_capital_to_assets,LOW,-0.022365,0.202368,,,,
L2-08,2,Attr63=LOW & net_profit_to_assets=LOW,Attr25=LOW,2,Attr63 <= 2.8381 AND net_profit_to_assets <= -0.0109,0.2142,0.7797,9.0844,0.6606,0.1191,Attr63,LOW,2.838087,5.4176,net_profit_to_assets,LOW,-0.010908,0.043087,,,,
L2-09,2,Attr63=LOW & retained_earnings_to_assets=LOW,Attr35=LOW,2,Attr63 <= 2.8381 AND retained_earnings_to_assets <= -0.0033,0.2039,0.7794,9.0809,0.5837,0.1956,Attr63,LOW,2.838087,5.4176,retained_earnings_to_assets,LOW,-0.003305,0.0,,,,
L2-10,2,Attr38=LOW & Attr52=HIGH,Attr25=LOW,2,Attr38 <= 0.3419 AND Attr52 >= 0.3577,0.2132,0.7763,9.0449,0.6695,0.1068,Attr38,LOW,0.341941,0.579746,Attr52,HIGH,0.185883,0.357677,,,,
L2-11,2,net_profit_to_assets=LOW & working_capital_to_assets=LOW,Attr38=LOW,2,net_profit_to_assets <= -0.0109 AND working_capital_to_assets <= -0.0224,0.2095,0.7759,9.0402,0.6725,0.1034,net_profit_to_assets,LOW,-0.010908,0.043087,working_capital_to_assets,LOW,-0.022365,0.202368,,,,
L2-12,2,cash_to_current_liabilities=LOW & working_capital_to_assets=LOW,Attr38=LOW,2,cash_to_current_liabilities <= -61.0043 AND working_capital_to_assets <= -0.0224,0.2272,0.7722,8.9969,0.63,0.1422,cash_to_current_liabilities,LOW,-61.00427,-2.893,working_capital_to_assets,LOW,-0.022365,0.202368,,,,
L2-13,2,Attr35=LOW & working_capital_to_assets=LOW,Attr38=LOW,2,Attr35 <= -0.0008 AND working_capital_to_assets <= -0.0224,0.2067,0.7655,8.9196,0.6606,0.1049,Attr35,LOW,-0.000826,0.063053,working_capital_to_assets,LOW,-0.022365,0.202368,,,,
L2-14,2,Attr55=LOW & cash_to_current_liabilities=LOW,Attr38=LOW,2,Attr55 <= -69.4560 AND cash_to_current_liabilities <= -61.0043,0.2225,0.7636,8.897,0.623,0.1405,Attr55,LOW,-69.45603,1172.971,cash_to_current_liabilities,LOW,-61.00427,-2.893,,,,
L2-15,2,Attr12=LOW & working_capital_to_assets=LOW,Attr38=LOW,2,Attr12 <= -0.0191 AND working_capital_to_assets <= -0.0224,0.2067,0.7603,8.8585,0.6585,0.1018,Attr12,LOW,-0.019095,0.121007,working_capital_to_assets,LOW,-0.022365,0.202368,,,,
L2-16,2,Attr12=LOW & Attr63=LOW,Attr25=LOW,2,Attr12 <= -0.0191 AND Attr63 <= 2.8381,0.2114,0.7592,8.846,0.6499,0.1093,Attr12,LOW,-0.019095,0.121007,Attr63,LOW,2.838087,5.4176,,,,
L2-17,2,Attr49=LOW & Attr63=LOW,Attr25=LOW,2,Attr49 <= -0.0241 AND Attr63 <= 2.8381,0.2011,0.7579,8.8308,0.6082,0.1496,Attr49,LOW,-0.024134,0.015654,Attr63,LOW,2.838087,5.4176,,,,
L2-18,2,Attr30=HIGH & working_capital_to_assets=LOW,Attr38=LOW,2,Attr30 >= 0.4253 AND working_capital_to_assets <= -0.0224,0.2114,0.7567,8.8165,0.6168,0.1398,Attr30,HIGH,0.19448,0.425287,working_capital_to_assets,LOW,-0.022365,0.202368,,,,
