level,n_train,dr_train,lift_train,n_holdout,dr_holdout,lift_holdout
No warning,764,0.03664921465968586,0.4185188843886858,214,0.03271028037383177,0.4027609331526004
Low (1–4),3195,0.044131455399061034,0.5039629812417482,791,0.04677623261694058,0.5759546810009555
Moderate (5–14),2993,0.08018710324089542,0.9157035778901894,762,0.06430446194225722,0.7917793672737474
High (15–29),2703,0.09396966333703292,1.0730947178919035,664,0.08885542168674698,1.0940747723719304
Very high (30+),3055,0.14729950900163666,1.6820995142954196,795,0.13836477987421383,1.7036823659321139
