K,inertia,silhouette,davies_bouldin,min_cluster_n,eligible
2,21270.030600934802,0.3477303743965326,1.7271923370508622,197,False
3,19602.87862703826,0.13114931262168278,2.1049573156123516,136,True
4,18247.081518059418,0.13987901543573694,1.979109508354167,73,True
5,17177.078962948188,0.14308565258294256,1.9984314588548582,69,True
6,16339.392212128263,0.14921888763741842,1.8503547586053,16,False
7,15615.15529305601,0.16378179624157146,1.6476912426566581,16,False
8,14903.57398728212,0.14518424982992803,1.68194256376577,15,False
