K,inertia,silhouette,davies_bouldin,min_cluster_n,eligible
2,19964.6,0.3528,1.7153,203,False
3,18170.2,0.3667,1.5627,35,False
4,16793.4,0.1828,1.7937,35,False
5,15738.7,0.1975,1.7883,35,False
6,15043.0,0.1838,1.6851,12,False
7,14363.7,0.1748,1.6598,12,False
8,13793.1,0.178,1.5821,11,False
