feature,coef,se,p_value,OR_mle,OR_ci_low,OR_ci_high,direction,converged,n_iter,rank_biserial,OR_mle_standard,fdr_q,sig_fdr
Attr49,-0.24011920820365676,0.02426334158682393,0.0,0.7865340941612925,0.7500056914666123,0.8248415822930651,risk-reducing,True,6,0.15800069841421105,0.7871389896608877,0.0,True
Attr38,-0.3080424780734614,0.027756650852335533,0.0,0.7348841008852287,0.6959729293087353,0.7759707583314946,risk-reducing,True,6,0.1774831007584753,0.734917721431447,0.0,True
retained_earnings_to_assets,-0.22399859676772307,0.024714807629057086,0.0,0.799316255994948,0.761520086381942,0.8389883451837623,risk-reducing,True,6,0.1760590786951065,0.799695925746,0.0,True
working_capital_to_assets,-0.32369096561826827,0.02961560932622193,0.0,0.7234737861109038,0.6826749189366028,0.7667109259044761,risk-reducing,True,6,0.18683794846781465,0.7237774229678431,0.0,True
Attr25,-0.2945103467929346,0.025332603405967186,0.0,0.7448962390145879,0.7088145607359307,0.782814628302755,risk-reducing,True,6,0.20770409180447913,0.7448951209998609,0.0,True
Attr24,-0.2868452870224958,0.02997097236067797,0.0,0.7506278517239153,0.7078045282638676,0.7960420557999179,risk-reducing,True,6,0.26499090619557353,0.7510102061651164,0.0,True
Attr35,-0.42862424052439163,0.028232601193858713,0.0,0.6514046546706401,0.616338396044869,0.6884659901923181,risk-reducing,True,6,0.2658817134595829,0.6517551758293745,0.0,True
Attr13,-0.3147471162664976,0.026567010743292273,0.0,0.7299734493412835,0.6929360939961261,0.7689904471135696,risk-reducing,True,6,0.26810093401929225,0.7304614387822238,0.0,True
Attr30,0.17545267437598216,0.024962332839089645,2.084776795641119e-12,1.1917855853200905,1.1348805476587487,1.2515439482216253,risk-increasing,True,6,-0.13618356131061127,1.1910646342606837,4.410104760010059e-12,True
Attr52,0.16546093371774362,0.024799764015978408,2.5255575408777986e-11,1.1799368660723988,1.1239556455307784,1.2387063612810763,risk-increasing,True,6,-0.10452287463276821,1.1791278353391499,5.1446542499362565e-11,True
Attr29,-0.19238511985261056,0.031524052067984636,1.0422342988647415e-09,0.8249890876279178,0.7755590719396384,0.8775695099574772,risk-reducing,True,6,0.09336156978938481,0.8250187274278155,2.0472459441985997e-09,True
Attr56,-0.1832031663658477,0.030345564587647356,1.5678174314359694e-09,0.8325989824430398,0.7845230071812711,0.8836210783108496,risk-reducing,True,6,0.1494492778246591,0.8329268185835316,2.9734468527233906e-09,True
Attr55,-0.20220578924397664,0.03745228631529571,6.700444510343573e-08,0.8169267958952351,0.7591082259548806,0.8791492003820305,risk-reducing,True,7,0.20299120650114544,0.8174548973665134,1.2284148268963219e-07,True
Attr21,-0.1647810703104922,0.03515525345985571,2.769156974835596e-06,0.8480793535146316,0.7916118458241898,0.9085748194040192,risk-reducing,True,6,0.0897577461910094,0.8478122484357201,4.913020439224445e-06,True
Attr41,-0.17843218232532637,0.04044977644576314,1.0279780177535613e-05,0.8365807899174682,0.7728175495151657,0.9056049755831805,risk-reducing,True,7,0.16499408792997305,0.8351785252880708,1.7668372180139336e-05,True
Attr12,-0.18566686091966403,0.04399992187219693,2.4461799203567836e-05,0.8305502376414743,0.7619265468805039,0.9053545910305391,risk-reducing,True,7,0.2474832951107243,0.8290177605911301,3.9570557535183266e-05,True
Attr58,0.1117190297426349,0.03149111653565798,0.00038870449655581396,1.1181986359446883,1.0512685475721215,1.1893898969166876,risk-increasing,True,6,-0.09240030983510161,1.118013244047084,0.0005938540919602713,True
cash_to_current_liabilities,-0.10344433804144527,0.03132437383505131,0.0009587516517219896,0.9017262131920996,0.8480302407227567,0.9588221321739289,risk-reducing,True,6,0.1321763000598103,0.9019829192128147,0.001425171374181336,True
Attr57,-0.08469594496235744,0.03080813562454791,0.005975146264729947,0.9187916051509548,0.8649541482858025,0.9759800740523535,risk-reducing,True,6,0.08614161884138472,0.9191188592288595,0.008648238014740713,True
Attr63,-0.09943261717778464,0.03762803351649897,0.00822929867583655,0.9053509529155089,0.8409843670738284,0.9746439767923339,risk-reducing,True,6,0.1551629204748214,0.9042401539194411,0.011605421209513082,True
Attr47,-0.08742564759049,0.03473815857860361,0.011845844738646472,0.9162869972642438,0.855977500803581,0.9808457121446944,risk-reducing,True,6,0.0647451603155278,0.9154259938310876,0.0162880365156389,True
Attr54,-0.08655015106614025,0.03928616315082792,0.027589844666136454,0.917089554612477,0.8491243678590613,0.9904947767544346,risk-reducing,True,6,0.19904906892733853,0.9151688817328848,0.03612955849136917,True
Attr15,-0.0712620763151123,0.03255102924073342,0.028579264483103772,0.9312178100127034,0.8736626854118422,0.992564549413113,risk-reducing,True,6,0.14552469464753903,0.9309355748838064,0.036554873176062964,True
