feature,coef,se,p_value,OR_mle,OR_ci_low,OR_ci_high,direction,converged,n_iter,rank_biserial,OR_mle_standard,fdr_q,sig_fdr
Attr49,-0.2452101618094871,0.023962401887611378,0.0,0.7825400609238483,0.7466374100838254,0.8201691191470691,risk-reducing,True,6,0.17569373248542064,0.7834389502107928,0.0,True
working_capital_to_assets,-0.3225669251222313,0.02938375522373413,0.0,0.724287457158247,0.6837533491214478,0.7672244988208194,risk-reducing,True,6,0.18534752884397632,0.7245324760589571,0.0,True
Attr30,0.21761202197674018,0.02369992359421575,0.0,1.2431046767513945,1.186681819428621,1.3022102572577072,risk-increasing,True,6,-0.15929104879728095,1.242816066048882,0.0,True
Attr25,-0.3136961755101026,0.024777454627891472,0.0,0.7307410114507883,0.696101988480827,0.7671037213691694,risk-reducing,True,6,0.22371099939794514,0.7311823441393103,0.0,True
Attr52,0.19732743228269886,0.02373745118627221,0.0,1.218142834702351,1.1627674341143954,1.2761554221432494,risk-increasing,True,6,-0.1172357599995848,1.2167483302269635,0.0,True
Attr24,-0.2682376327256584,0.029680359960664714,0.0,0.7647260355771608,0.7215092579660589,0.8105314007170664,risk-reducing,True,6,0.252321118769989,0.7650584412644823,0.0,True
Attr13,-0.30972970852564036,0.02651412883031395,0.0,0.7336452274777593,0.6964937591426291,0.772778381336038,risk-reducing,True,6,0.2575676192242611,0.734084727028171,0.0,True
Attr35,-0.4149130026202832,0.028107787725736823,0.0,0.6603977310781054,0.6250002343737384,0.6977999994673841,risk-reducing,True,6,0.26071727042212256,0.6607149304883988,0.0,True
Attr38,-0.31600992126382954,0.027420571632563052,0.0,0.7290522170123523,0.6909047875309182,0.7693059083149579,risk-reducing,True,6,0.178193759407834,0.7289715161963797,0.0,True
retained_earnings_to_assets,-0.20291747984415742,0.02495732536563575,4.440892098500626e-16,0.8163456036126342,0.777374596423411,0.8572702884861165,risk-reducing,True,6,0.17654083944162213,0.8167171191500887,9.375216652390211e-16,True
Attr55,-0.25495821441132704,0.037706107930769346,1.3636203277656023e-11,0.7749488789796458,0.7197431779086138,0.8343889646538081,risk-reducing,True,7,0.2101496181162198,0.7752917970891572,2.7759413815228334e-11,True
Attr56,-0.17923270247271636,0.02962216002387403,1.4428132022459295e-09,0.8359113581227887,0.7887616703232162,0.8858795057223744,risk-reducing,True,6,0.12982258865628182,0.8362759593495617,2.835874225104068e-09,True
Attr29,-0.1812252534578543,0.03130831339274408,7.105716459676614e-09,0.834247420413556,0.7845943705798143,0.887042763195398,risk-reducing,True,6,0.08973344951419959,0.8342556568165375,1.3500861273385568e-08,True
Attr41,-0.22149546464673223,0.04089996952097249,6.110364436651139e-08,0.8013195564069622,0.739591012134057,0.8682001551471834,risk-reducing,True,7,0.1581126605767006,0.800358897425863,1.1235186222229513e-07,True
Attr57,-0.13872676155792746,0.02984314942793606,3.3430975625581283e-06,0.8704658406972386,0.8210114201137132,0.9228991963544242,risk-reducing,True,6,0.12490225614472128,0.8708225894960588,5.954892533306666e-06,True
cash_to_current_liabilities,-0.11243313471151507,0.030683878177190333,0.00024807279895466827,0.893657099750586,0.8414973362413969,0.9490499583774453,risk-reducing,True,6,0.14447876309678565,0.8939797894036805,0.0004158867511887086,True
Attr26,-0.19068938955155615,0.05330386108299291,0.00034702500836281125,0.8263892334211613,0.7444102107836624,0.9173962893328474,risk-reducing,True,8,0.2860967001953366,0.8225690690912889,0.0005651550136194355,True
Attr58,0.10531664170217044,0.0309886524145786,0.0006774282382684405,1.11106236334088,1.0455886194507062,1.1806360094863482,risk-increasing,True,6,-0.08069642821310863,1.1108273026754163,0.0010436056643594893,True
Attr21,-0.10989257349397999,0.033754658496520575,0.0011314233112920125,0.8959303767970082,0.8385756438774079,0.9572079107331849,risk-reducing,True,6,0.07510400380059257,0.8954855528912214,0.0016971349669380187,True
Attr53,-0.110547845859949,0.04078369282108804,0.006716373791653796,0.8953434906853861,0.8265602927087817,0.9698505643013393,risk-reducing,True,6,0.16775406100394186,0.8918473971651109,0.009816238618570932,True
Attr63,-0.09986730226068137,0.03718551904459882,0.007238879774850382,0.9049574958826371,0.8413482786208277,0.9733758185095784,risk-reducing,True,6,0.1706333259500068,0.9038114444989769,0.010315403679161795,True
Attr45,-0.10710752074033422,0.04343303148936146,0.013661671144921561,0.8984290680383473,0.8251131931846387,0.9782594642328412,risk-reducing,True,7,0.20484160285279962,0.8937727888253701,0.018540839410964977,True
Attr15,-0.07402830613677888,0.032415190740911155,0.02238602038829285,0.9286454071053384,0.8714812642421753,0.989559187927869,risk-reducing,True,6,0.1408368384765989,0.9283202428457052,0.0290000718666521,True
