segment,n_train,dr_train,f1_train,n_holdout,dr_holdout,f1_holdout
A→AA,974,0.02053388090349076,0.08,235,0.01702127659574468,0.125
BBB→A,1812,0.032560706401766004,0.10380622837370242,473,0.021141649048625793,0.056603773584905655
BB→BBB,2539,0.03977944072469476,0.10256410256410256,614,0.03745928338762215,0.07339449541284403
B→BB,3477,0.07765314926660914,0.1441947565543071,820,0.08170731707317073,0.15521628498727733
CCC→B,3985,0.16085319949811794,0.28324946081955427,955,0.16335078534031414,0.29000000000000004
