factor_id,layer,hit_rate_train,hit_rate_holdout,hit_rate_gap
L1-01,1,0.11798152096659559,0.11398467432950192,0.003996846637093668
L1-02,1,0.11459074733096085,0.11146496815286625,0.0031257791780946037
L1-03,1,0.11780042664138421,0.11902439024390243,-0.0012239636025182243
L1-04,1,0.11113744075829383,0.11597151576805696,-0.004834075009763128
L1-05,1,0.11901375059269796,0.11846318036286019,0.000550570229837774
L1-06,1,0.11398104265402843,0.11194029850746269,0.0020407441465657428
L1-07,1,0.1157396449704142,0.1111111111111111,0.004628533859303091
L1-08,1,0.11996206733048838,0.113107822410148,0.006854244920340383
L1-09,1,0.10710900473933649,0.11697722567287784,-0.009868220933541352
L1-10,1,0.11462014134275618,0.11696428571428572,-0.0023441443715295357
L1-11,1,0.12088172552737615,0.12055335968379446,0.00032836584358168774
L1-12,1,0.1265046023129573,0.12631578947368421,0.00018881283927307813
L1-13,1,0.11519317373785257,0.11927582534611289,-0.004082651608260324
L1-14,1,0.12600663192799622,0.12630579297245964,-0.0002991610444634252
L1-15,1,0.11483983438657659,0.11671087533156499,-0.0018710409449883975
L1-16,1,0.13086770981507823,0.13005780346820808,0.0008099063468701428
L1-17,1,0.12917753022043138,0.1280310378273521,0.0011464923930792903
L1-18,1,0.13036264517658214,0.1270772238514174,0.003285421325164739
L1-19,1,0.13036264517658214,0.1270772238514174,0.003285421325164739
L1-20,1,0.13036264517658214,0.1270772238514174,0.003285421325164739
L1-21,1,0.1301564722617354,0.13001912045889102,0.0001373518028443821
L1-22,1,0.13880349964530622,0.1320754716981132,0.006728027947193016
L1-23,1,0.12535545023696681,0.11927480916030535,0.006080641076661467
L1-24,1,0.14072494669509594,0.13333333333333333,0.007391613361762611
L1-25,1,0.13598673300165837,0.13339920948616601,0.0025875235154923515
L1-26,1,0.10660980810234541,0.11515151515151516,-0.008541707049169747
L1-27,1,0.1009478672985782,0.11226611226611227,-0.011318244967534072
L1-28,1,0.09691943127962085,0.08568329718004339,0.011236134099577466
L1-29,1,0.11835863377609109,0.10368217054263566,0.014676463233455422
L1-30,1,0.11753554502369669,0.1117948717948718,0.005740673228824891
L1-31,1,0.09192134565268893,0.08486017357762778,0.007061172075061156
L1-32,1,0.1324330727315802,0.12993262752646775,0.002500445205112445
L1-33,1,0.14089509827137106,0.13704071499503476,0.003854383276336304
L1-34,1,0.13178478312396302,0.12950340798442064,0.00228137513954238
L1-35,1,0.1403176108082484,0.13762376237623763,0.002693848432010759
L1-36,1,0.11179681936862093,0.10368217054263566,0.008114648825985268
L1-37,1,0.10592417061611374,0.10692464358452139,-0.001000472968407648
L1-38,1,0.10945273631840796,0.11661807580174927,-0.007165339483341304
L1-39,1,0.11090047393364928,0.11597151576805696,-0.00507104183440768
L1-40,1,0.09760720208481402,0.08652900688298919,0.011078195201824834
L1-41,1,0.11327014218009479,0.11252653927813164,0.0007436029019631529
L1-42,1,0.12132701421800948,0.11395101171458999,0.007376002503419493
L1-43,1,0.13364928909952606,0.125,0.008649289099526059
L2-01,2,0.13176007866273354,0.1350806451612903,-0.003320566498556776
L2-02,2,0.16140559857057774,0.14824120603015076,0.013164392540426978
L2-03,2,0.1645274212368728,0.15656565656565657,0.007961764671216232
L2-04,2,0.1533044420368364,0.14318706697459585,0.010117375062240558
L2-05,2,0.13692946058091288,0.1331877729257642,0.003741687655148679
L2-06,2,0.14887940234791888,0.1258741258741259,0.023005276473792996
L2-07,2,0.109478672985782,0.11661807580174927,-0.007139402815967269
L2-08,2,0.13033605812897367,0.13147410358565736,-0.001138045456683695
L2-09,2,0.1354899203000469,0.124,0.01148992030004689
L2-10,2,0.12481536189069424,0.11538461538461539,0.00943074650607885
L2-11,2,0.12530512611879577,0.12407407407407407,0.001231052044721695
L2-12,2,0.13603275705186532,0.1242603550295858,0.011772402022279527
L2-13,2,0.11813842482100238,0.11992619926199262,-0.0017877744409902363
L2-14,2,0.12005649717514125,0.11234177215189874,0.007714725023242511
L2-15,2,0.10592417061611374,0.10692464358452139,-0.001000472968407648
L2-16,2,0.11736526946107785,0.1170018281535649,0.00036344130751295167
L2-17,2,0.12203934162986753,0.12274368231046931,-0.000704340680601781
