factor_id,layer,hit_rate_train,hit_rate_holdout,hit_rate_gap
L1-01,1,0.11972000965483949,0.11450381679389313,0.005216192860946364
L1-02,1,0.11890979257115292,0.11186770428015565,0.00704208829099727
L1-03,1,0.11818620356970574,0.11527093596059114,0.002915267609114605
L1-04,1,0.12065637065637065,0.11142587346553352,0.009230497190837128
L1-05,1,0.12062726176115803,0.10810810810810811,0.012519153653049911
L1-06,1,0.1150998429436841,0.10717529518619437,0.007924547757489728
L1-07,1,0.1158021712907117,0.09914204003813155,0.016660131252580146
L1-08,1,0.12521109770808203,0.11992263056092843,0.0052884671471536
L1-09,1,0.11498335183129856,0.10711071107110712,0.007872640760191438
L1-10,1,0.12554321583775954,0.11844660194174757,0.0070966138960119746
L1-11,1,0.11676718938480096,0.10292728989612843,0.013839899488672536
L1-12,1,0.12858866103739444,0.1203883495145631,0.008200311522831336
L1-13,1,0.12279855247285887,0.11735700197238659,0.005441550500472278
L1-14,1,0.12858866103739444,0.12266928361138371,0.00591937742601073
L1-15,1,0.12858866103739444,0.12266928361138371,0.00591937742601073
L1-16,1,0.12858866103739444,0.12266928361138371,0.00591937742601073
L1-17,1,0.12907117008443908,0.12062256809338522,0.008448601991053864
L1-18,1,0.1353437876960193,0.12818003913894324,0.0071637485570760495
L1-19,1,0.14085527905291134,0.12345679012345678,0.01739848892945456
L1-20,1,0.14233841684822077,0.12535885167464114,0.016979565173579625
L1-21,1,0.11601543656536421,0.10479041916167664,0.011225017403687573
L1-22,1,0.12759286058851904,0.1220703125,0.0055225480885190414
L1-23,1,0.1189384800965018,0.10603112840466926,0.012907351691832547
L1-24,1,0.11459589867310012,0.10422535211267606,0.010370546560424063
L1-25,1,0.125602700096432,0.11665098777046096,0.008951712325971056
L1-26,1,0.10832328106151991,0.09342230695900858,0.01490097410251133
L1-27,1,0.09357678513205087,0.08981001727115717,0.003766767860893694
L1-28,1,0.11812921890067503,0.11080074487895716,0.007328474021717865
L1-29,1,0.11652593486127864,0.10505836575875487,0.011467569102523778
L1-30,1,0.13965267727930536,0.13076923076923078,0.008883446510074583
L1-31,1,0.13947876447876448,0.13005780346820808,0.009420961010556395
L1-32,1,0.11749095295536792,0.1009433962264151,0.01654755672895282
L1-33,1,0.12973233662888836,0.11992263056092843,0.00980970606795993
L1-34,1,0.09312424607961399,0.0938388625592417,-0.0007146164796277138
L1-35,1,0.1293124246079614,0.12106299212598425,0.008249432481977167
L1-36,1,0.09095295536791315,0.08662900188323917,0.004323953484673973
L1-37,1,0.1008443908323281,0.09116809116809117,0.009676299664236929
L1-38,1,0.11239749155812831,0.10102899906454631,0.011368492493582003
L1-39,1,0.0991556091676719,0.07743153918791312,0.021724069979758773
