antecedents_str,consequents_str,support,confidence,lift,lift_vs_baseline,conf_safe,conf_diff
Attr21=LOW,Attr26=LOW,0.23725671918443003,0.6790450928381963,1.2654398189506284,7.904361785030348,0.4471868365180467,0.23185825632014956
Attr30=HIGH & Attr46=LOW,Attr49=LOW,0.211306765523633,0.6785714285714286,1.4761664746543781,7.898848139811996,0.5594713656387665,0.11910006293266207
Attr52=HIGH,working_capital_to_assets=LOW,0.2808155699721965,0.6748329621380846,1.4769670712920757,7.85533086603739,0.573051948051948,0.1017810140861366
cash_to_current_liabilities=LOW & working_capital_to_assets=LOW,retained_earnings_to_assets=LOW,0.20852641334569044,0.6736526946107784,1.5270404569013232,7.841592070724167,0.567667626491156,0.10598506811962238
Attr29=LOW,Attr41=LOW,0.24096385542168675,0.6735751295336787,1.350906254213456,7.840689181596853,0.4421388667198723,0.23143626281380641
Attr55=LOW & cash_to_current_liabilities=LOW,Attr49=LOW,0.2057460611677479,0.6727272727272726,1.4634530791788856,7.830819782627011,0.48838174273858925,0.18434552998868337
Attr46=LOW & Attr63=LOW,Attr45=LOW,0.21316033364226136,0.672514619883041,1.4312490628280101,7.8283444168035174,0.5685503685503686,0.1039642513326724
Attr57=LOW,Attr41=LOW,0.29008341056533826,0.6716738197424892,1.3470930325318697,7.818557160301821,0.4645284044577331,0.2071454152847561
working_capital_to_assets=LOW,Attr25=LOW,0.30676552363299353,0.6713995943204869,1.4232616154652364,7.815365064564705,0.5539430449069003,0.11745654941358663
Attr46=LOW & cash_to_current_liabilities=LOW,Attr24=LOW,0.2196478220574606,0.6713881019830028,1.390456357081881,7.815231289069986,0.5148440435926344,0.15654405839036845
cash_to_current_liabilities=LOW & working_capital_to_assets=LOW,Attr45=LOW,0.20759962928637626,0.6706586826347305,1.427299247658529,7.806740550409838,0.5150143973673386,0.15564428526739194
Attr52=HIGH,Attr38=LOW,0.27803521779425394,0.6681514476614699,1.4418708240534521,7.777555312908307,0.5451839826839827,0.12296746497748723
cash_to_current_liabilities=LOW,Attr26=LOW,0.28544949026876737,0.668112798264642,1.2450668554879945,7.777105418168586,0.4533116178067318,0.2148011804579102
Attr38=LOW & Attr46=LOW,Attr35=LOW,0.22335495829471733,0.6675900277008311,1.2250504079748243,7.7710201556278395,0.4623059866962307,0.2052840410046004
Attr55=LOW & cash_to_current_liabilities=LOW,Attr45=LOW,0.20389249304911955,0.6666666666666666,1.4188034188034186,7.760271856657399,0.5082987551867221,0.15836791147994456
cash_to_current_liabilities=LOW,Attr25=LOW,0.2845227062094532,0.6659436008676789,1.4116957668688124,7.751855075901805,0.500542888165038,0.1654007127026409
Attr29=LOW,Attr35=LOW,0.2381835032437442,0.6658031088082902,1.2217713510274577,7.750219691039968,0.3987762702846502,0.26702683852364
Attr46=LOW & cash_to_current_liabilities=LOW,Attr49=LOW,0.21779425393883226,0.6657223796033994,1.4482146120807824,7.749279970174881,0.47087561067267947,0.19484676893071995
Attr24=LOW & retained_earnings_to_assets=LOW,working_capital_to_assets=LOW,0.211306765523633,0.6647230320699709,1.4548400641044597,7.737647157366853,0.5580408792903973,0.1066821527795736
Attr55=LOW,Attr38=LOW,0.2974976830398517,0.6645962732919254,1.434198757763975,7.736171633500077,0.5554341889677772,0.1091620843241482
retained_earnings_to_assets=LOW,Attr46=LOW,0.2919369786839666,0.6617647058823529,1.2247755019675108,7.703211034181977,0.4573453257018261,0.2044193801805268
Attr21=LOW,Attr13=LOW,0.23076923076923078,0.6604774535809018,1.270330075603909,7.688226892470924,0.44506369426751596,0.21541375931338586
Attr55=LOW,Attr26=LOW,0.29564411492122333,0.660455486542443,1.230797012054052,7.687971187185435,0.4404696886947023,0.2199857978477407
Attr38=LOW & Attr46=LOW,Attr13=LOW,0.2205746061167748,0.6592797783933518,1.2680265256442542,7.674285464893883,0.5177383592017738,0.14154141919157803
working_capital_to_assets=LOW,Attr26=LOW,0.30120481927710846,0.6592292089249494,1.2285117727634205,7.673696815660208,0.4646768893756846,0.19455231954926483
Attr46=LOW & cash_to_current_liabilities=LOW,Attr45=LOW,0.21501390176088972,0.6572237960339944,1.398707053097988,7.650352991832224,0.488162344983089,0.16906145105090536
Attr20=HIGH,Attr63=LOW,0.25023169601482853,0.6569343065693429,1.4555074266700638,7.646983216414224,0.4799143010176754,0.17702000555166753
Attr13=LOW & Attr25=LOW,cash_to_current_liabilities=LOW,0.20018535681186284,0.6565349544072948,1.53666207333074,7.642334594398168,0.5452642595499738,0.111270694857321
Attr25=LOW & Attr35=LOW,cash_to_current_liabilities=LOW,0.20018535681186284,0.6565349544072948,1.53666207333074,7.642334594398168,0.5359628770301624,0.12057207737713238
Attr45=LOW,Attr46=LOW,0.3076923076923077,0.6548323471400395,1.2119452874169856,7.622515551509635,0.4395604395604395,0.21527190757959996
Attr26=LOW & retained_earnings_to_assets=LOW,Attr38=LOW,0.20481927710843373,0.6519174041297935,1.4068377581120943,7.588584426200377,0.5451456310679611,0.10677177306183239
Attr46=LOW & cash_to_current_liabilities=LOW,retained_earnings_to_assets=LOW,0.21316033364226136,0.651558073654391,1.4769562215821175,7.584401672937119,0.521608417888012,0.12994965576637896
Attr43=HIGH,Attr35=LOW,0.2520852641334569,0.6507177033492823,1.1940891189011489,7.57461941989526,0.37778374027367856,0.2729339630756037
Attr20=HIGH,Attr30=HIGH,0.247451343836886,0.6496350364963502,1.475697272378025,7.562016736231844,0.49196572040707015,0.1576693160892801
Attr30=HIGH,Attr25=LOW,0.28544949026876737,0.6484210526315789,1.3745507186433665,7.547885469001512,0.5381471389645778,0.11027391366700112
Attr25=LOW & retained_earnings_to_assets=LOW,Attr41=LOW,0.20481927710843373,0.6480938416422287,1.2998015894646187,7.5440765996537476,0.44131658726721523,0.2067772543750135
Attr55=LOW,Attr25=LOW,0.29008341056533826,0.6480331262939959,1.3737283757784313,7.54336984824151,0.5229382850901146,0.12509484120388126
Attr25=LOW,Attr13=LOW,0.3049119555143652,0.6463654223968566,1.2431876840752376,7.523957094814198,0.5255775577557755,0.12078786464108104
