factor_id,layer,variable,direction,n_triggered_train,n_hit_train,hit_rate_train,lift_train,coverage_train,n_triggered_holdout,n_hit_holdout,hit_rate_holdout,lift_holdout,coverage_holdout
L1-15,1,Attr42,risk-reducing,4427,526,0.1188,1.362,0.4808,1129,121,0.1072,1.461,0.5216
L1-12,1,Attr22,risk-reducing,4478,530,0.1184,1.356,0.4845,1147,124,0.1081,1.474,0.5345
L1-03,1,total_liabilities_to_assets,risk-increasing,4136,484,0.117,1.341,0.4424,1068,106,0.0993,1.353,0.4569
L1-27,1,retained_earnings_to_assets,risk-reducing,4140,484,0.1169,1.34,0.4424,1040,109,0.1048,1.429,0.4698
L1-31,1,Attr56,risk-reducing,4137,483,0.1168,1.338,0.4415,1044,113,0.1082,1.476,0.4871
L1-01,1,Attr51,risk-increasing,4138,482,0.1165,1.335,0.4406,1082,113,0.1044,1.424,0.4871
L1-02,1,equity_to_assets,risk-reducing,4137,481,0.1163,1.332,0.4397,1056,108,0.1023,1.394,0.4655
L1-26,1,Attr32,risk-increasing,4137,481,0.1163,1.332,0.4397,1049,109,0.1039,1.417,0.4698
L1-38,1,Attr63,risk-reducing,4137,480,0.116,1.33,0.4388,1048,116,0.1107,1.509,0.5
L1-05,1,Attr62,risk-increasing,4137,480,0.116,1.33,0.4388,1035,113,0.1092,1.489,0.4871
L1-39,1,Attr53,risk-reducing,4137,478,0.1155,1.324,0.4369,1065,117,0.1099,1.498,0.5043
L2-06,2,Attr57=LOW,composite,4137,476,0.1151,1.319,0.4351,1043,100,0.0959,1.307,0.431
L1-37,1,Attr57,risk-reducing,4136,476,0.1151,1.319,0.4351,1043,100,0.0959,1.307,0.431
L1-09,1,Attr30,risk-increasing,4139,475,0.1148,1.315,0.4342,1062,110,0.1036,1.412,0.4741
L1-36,1,cash_to_current_liabilities,risk-reducing,4137,463,0.1119,1.283,0.4232,1065,107,0.1005,1.37,0.4612
L1-42,1,Attr58,risk-increasing,4143,458,0.1105,1.267,0.4186,1064,106,0.0996,1.358,0.4569
L1-04,1,Attr52,risk-increasing,4137,450,0.1088,1.247,0.4113,1045,102,0.0976,1.331,0.4397
L1-44,1,Attr33,risk-reducing,4139,448,0.1082,1.24,0.4095,1050,102,0.0971,1.324,0.4397
L1-30,1,Attr29,risk-reducing,4138,403,0.0974,1.116,0.3684,1038,88,0.0848,1.156,0.3793
L1-33,1,Attr21,risk-reducing,4138,386,0.0933,1.069,0.3528,980,73,0.0745,1.016,0.3147
