level,n_train,dr_train,lift_train,n_holdout,dr_holdout,lift_holdout
No warning,593,0.03541315345699832,0.41505773900516724,123,0.016260162601626018,0.19368355222013758
Low (1–4),3136,0.046556122448979595,0.5456582380890028,835,0.045508982035928146,0.542081989866421
Moderate (5–14),3311,0.0721836303231652,0.8460239055383257,792,0.08080808080808081,0.9625485625485626
High (15–29),2897,0.09458060062133242,1.108526251278623,653,0.08422664624808576,1.0032689362704676
Very high (30+),2850,0.14421052631578948,1.6902108157653528,694,0.14553314121037464,1.7335236089558854
