K,inertia,silhouette,davies_bouldin,min_cluster_n,eligible
2,21682.3965513809,0.34718164104150245,1.7850913907574757,202,False
3,19960.668238287806,0.37095691549858395,1.6768452355525023,39,False
4,18634.24834587637,0.21614860330711155,1.917360183133555,34,False
5,17657.438255351124,0.22965791871845567,1.9039187709186614,39,False
6,16926.778093006968,0.1324453691781145,1.9741013986701288,35,False
7,16249.917637031875,0.1411962926498973,1.8782029811272614,11,False
8,15600.507548804784,0.14552703189668587,1.8283187595856023,12,False
