,layer,variable,definition,direction,OR_mle,rank_biserial,firth_fdr_q,trigger_condition,trigger_pct,antecedents_str,confidence,lift_vs_baseline,conditions_detail,conf_diff
L2-01,2,,,,,,,,,Attr30=HIGH & Attr38=LOW,0.8223,9.4234,Attr30 >= 0.4179 AND Attr38 <= 0.3427,0.1457
L2-02,2,,,,,,,,,Attr38=LOW & retained_earnings_to_assets=LOW,0.8172,9.365,Attr38 <= 0.3427 AND retained_earnings_to_assets <= -0.0013,0.199
L2-03,2,,,,,,,,,Attr38=LOW & Attr63=LOW,0.8066,9.243,Attr38 <= 0.3427 AND Attr63 <= 2.8559,0.1796
L2-04,2,,,,,,,,,Attr63=LOW & retained_earnings_to_assets=LOW,0.8043,9.2176,Attr63 <= 2.8559 AND retained_earnings_to_assets <= -0.0013,0.1542
L2-05,2,,,,,,,,,Attr25=LOW & Attr38=LOW,0.8036,9.2094,Attr25 <= 0.0901 AND Attr38 <= 0.3427,0.1996
L2-06,2,,,,,,,,,Attr57=LOW,0.8025,9.1967,Attr57 <= 0.0041,0.1136
L2-07,2,,,,,,,,,Attr24=LOW & Attr38=LOW,0.8021,9.1921,Attr24 <= -0.0027 AND Attr38 <= 0.3427,0.1644
L2-08,2,,,,,,,,,Attr38=LOW & Attr52=HIGH,0.8007,9.1757,Attr38 <= 0.3427 AND Attr52 >= 0.3546,0.1837
L2-09,2,,,,,,,,,Attr35=LOW & Attr38=LOW,0.7993,9.1602,Attr35 <= -0.0008 AND Attr38 <= 0.3427,0.1697
L2-10,2,,,,,,,,,Attr30=HIGH & retained_earnings_to_assets=LOW,0.7921,9.0775,Attr30 >= 0.4179 AND retained_earnings_to_assets <= -0.0013,0.1417
L2-11,2,,,,,,,,,Attr25=LOW & Attr63=LOW,0.7912,9.0675,Attr25 <= 0.0901 AND Attr63 <= 2.8559,0.1338
L2-12,2,,,,,,,,,Attr25=LOW & Attr52=HIGH,0.79,9.0536,Attr25 <= 0.0901 AND Attr52 >= 0.3546,0.1325
L2-13,2,,,,,,,,,Attr12=LOW & Attr38=LOW,0.7869,9.0182,Attr12 <= -0.0172 AND Attr38 <= 0.3427,0.1477
L2-14,2,,,,,,,,,Attr25=LOW & Attr30=HIGH,0.7803,8.9424,Attr25 <= 0.0901 AND Attr30 >= 0.4179,0.1323
L2-15,2,,,,,,,,,Attr35=LOW & Attr52=HIGH,0.7774,8.9087,Attr35 <= -0.0008 AND Attr52 >= 0.3546,0.1178
L2-16,2,,,,,,,,,Attr13=LOW & Attr38=LOW,0.776,8.8925,Attr13 <= 0.0099 AND Attr38 <= 0.3427,0.1929
L2-17,2,,,,,,,,,Attr30=HIGH & Attr49=LOW,0.7679,8.8002,Attr30 >= 0.4179 AND Attr49 <= -0.0220,0.1225
L2-18,2,,,,,,,,,Attr53=LOW & cash_to_current_liabilities=LOW,0.7673,8.793,Attr53 <= 0.5844 AND cash_to_current_liabilities <= -58.4638,0.1196
L2-19,2,,,,,,,,,Attr49=LOW & Attr63=LOW,0.7661,8.7794,Attr49 <= -0.0220 AND Attr63 <= 2.8559,0.1139
L2-20,2,,,,,,,,,Attr30=HIGH & Attr35=LOW,0.761,8.721,Attr30 >= 0.4179 AND Attr35 <= -0.0008,0.1165
L2-21,2,,,,,,,,,Attr55=LOW & Attr63=LOW,0.7596,8.705,Attr55 <= -51.2765 AND Attr63 <= 2.8559,0.1011
L2-22,2,,,,,,,,,Attr35=LOW & Attr53=LOW,0.7584,8.691,Attr35 <= -0.0008 AND Attr53 <= 0.5844,0.1101
L2-23,2,,,,,,,,,Attr13=LOW & Attr63=LOW,0.7581,8.6873,Attr13 <= 0.0099 AND Attr63 <= 2.8559,0.1125
L2-24,2,,,,,,,,,Attr12=LOW & Attr53=LOW,0.7578,8.6841,Attr12 <= -0.0172 AND Attr53 <= 0.5844,0.1283
L2-25,2,,,,,,,,,Attr13=LOW & Attr30=HIGH,0.7556,8.6593,Attr13 <= 0.0099 AND Attr30 >= 0.4179,0.1092
L2-26,2,,,,,,,,,retained_earnings_to_assets=LOW & working_capital_to_assets=LOW,0.7552,8.6541,retained_earnings_to_assets <= -0.0013 AND working_capital_to_assets <= -0.0200,0.1096
L2-27,2,,,,,,,,,Attr52=HIGH & Attr55=LOW,0.755,8.6525,Attr52 >= 0.3546 AND Attr55 <= -51.2765,0.1061
L2-28,2,,,,,,,,,cash_to_current_liabilities=LOW & working_capital_to_assets=LOW,0.7522,8.6199,cash_to_current_liabilities <= -58.4638 AND working_capital_to_assets <= -0.0200,0.1271
L2-29,2,,,,,,,,,Attr35=LOW & Attr63=LOW,0.7516,8.6126,Attr35 <= -0.0008 AND Attr63 <= 2.8559,0.1302
