K,inertia,silhouette,davies_bouldin,min_cluster_n,eligible
2,20890.63346518397,0.3304662908579313,1.7102412612037468,194,False
3,19375.848623178925,0.1263975687684635,2.1742386824411617,141,True
4,18197.250344805976,0.1366752430969764,2.029483644177137,55,True
5,17222.46071739189,0.14607081000167155,1.9800629655368727,37,False
6,16499.891422536806,0.11522690420011365,2.063630849504372,36,False
7,15794.090249891762,0.11993966413341417,1.9167679598759715,18,False
8,15201.012623583076,0.12608770308386866,1.8912270394983812,18,False
