level,n_train,dr_train,lift_train,n_holdout,dr_holdout,lift_holdout
No warning,308,0.025974025974025976,0.3023482541554831,96,0.03125,0.38187741312741313
Low (1–4),3056,0.046465968586387435,0.5408828224699038,754,0.04111405835543767,0.5024169679342093
Moderate (5–14),3080,0.06915584415584415,0.8050022266889737,756,0.07407407407407407,0.9051909051909051
High (15–29),2370,0.08523206751054853,0.9921360221802499,621,0.09339774557165861,1.1413276630667935
Very high (30+),3746,0.13721302722904433,1.597215590358477,938,0.11833688699360341,1.4460858970453851
