factor_id,layer,antecedents_str,consequents_str,n_conditions,conditions_detail,support,confidence,lift_vs_baseline,conf_safe,conf_diff,cond1_var,cond1_bin,cond1_p33,cond1_p67,cond2_var,cond2_bin,cond2_p33,cond2_p67,cond3_var,cond3_bin,cond3_p33,cond3_p67
L2-01,2,Attr38=LOW & Attr45=LOW,Attr46=LOW,2,Attr38 <= 0.3402 AND Attr45 <= 0.0000,0.2039,0.824,9.5913,0.6322,0.1918,Attr38,LOW,0.340209,0.57909,Attr45,LOW,0.0,0.282825,,,,
L2-02,2,Attr63=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,2,Attr63 <= 2.8486 AND retained_earnings_to_assets <= -0.0000,0.2159,0.8233,9.5838,0.6656,0.1577,Attr63,LOW,2.848635,5.374712,retained_earnings_to_assets,LOW,-2.9e-05,0.0,,,,
L2-03,2,Attr24=LOW & Attr38=LOW,Attr46=LOW,2,Attr24 <= 0.0022 AND Attr38 <= 0.3402,0.215,0.8169,9.5091,0.6458,0.1711,Attr24,LOW,0.002155,0.1551,Attr38,LOW,0.340209,0.57909,,,,
L2-04,2,Attr30=HIGH & Attr38=LOW,Attr46=LOW,2,Attr30 >= 0.4212 AND Attr38 <= 0.3402,0.2234,0.8114,9.4456,0.683,0.1285,Attr30,HIGH,0.194485,0.421248,Attr38,LOW,0.340209,0.57909,,,,
L2-05,2,Attr30=HIGH & retained_earnings_to_assets=LOW,Attr26=LOW,2,Attr30 >= 0.4212 AND retained_earnings_to_assets <= -0.0000,0.2095,0.8071,9.3955,0.6599,0.1472,Attr30,HIGH,0.194485,0.421248,retained_earnings_to_assets,LOW,-2.9e-05,0.0,,,,
L2-06,2,Attr57=LOW,Attr26=LOW,1,Attr57 <= 0.0066,0.3475,0.8047,9.3673,0.6831,0.1217,Attr57,LOW,0.006592,0.168622,,,,,,,,
L2-07,2,Attr55=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,2,Attr55 <= -65.7906 AND retained_earnings_to_assets <= -0.0000,0.203,0.8022,9.3379,0.6461,0.1561,Attr55,LOW,-65.79062,1104.483,retained_earnings_to_assets,LOW,-2.9e-05,0.0,,,,
L2-08,2,Attr35=LOW & Attr38=LOW,Attr46=LOW,2,Attr35 <= 0.0000 AND Attr38 <= 0.3402,0.2234,0.8007,9.3201,0.6173,0.1833,Attr35,LOW,3e-06,0.064603,Attr38,LOW,0.340209,0.57909,,,,
L2-09,2,Attr38=LOW & retained_earnings_to_assets=LOW,Attr46=LOW,2,Attr38 <= 0.3402 AND retained_earnings_to_assets <= -0.0000,0.2141,0.7993,9.3043,0.6221,0.1772,Attr38,LOW,0.340209,0.57909,retained_earnings_to_assets,LOW,-2.9e-05,0.0,,,,
L2-10,2,Attr25=LOW & Attr38=LOW,Attr46=LOW,2,Attr25 <= 0.0920 AND Attr38 <= 0.3402,0.253,0.7982,9.2919,0.605,0.1933,Attr25,LOW,0.092,0.35605,Attr38,LOW,0.340209,0.57909,,,,
L2-11,2,Attr38=LOW & Attr56=LOW,Attr46=LOW,2,Attr38 <= 0.3402 AND Attr56 <= 0.0017,0.2002,0.797,9.278,0.6105,0.1865,Attr38,LOW,0.340209,0.57909,Attr56,LOW,0.001655,0.04741,,,,
L2-12,2,Attr38=LOW & Attr52=HIGH,Attr46=LOW,2,Attr38 <= 0.3402 AND Attr52 >= 0.3604,0.2215,0.7967,9.2735,0.6223,0.1743,Attr38,LOW,0.340209,0.57909,Attr52,HIGH,0.188382,0.360413,,,,
L2-13,2,Attr38=LOW & Attr63=LOW,Attr46=LOW,2,Attr38 <= 0.3402 AND Attr63 <= 2.8486,0.2317,0.7962,9.2678,0.6292,0.1669,Attr38,LOW,0.340209,0.57909,Attr63,LOW,2.848635,5.374712,,,,
L2-14,2,cash_to_current_liabilities=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,2,cash_to_current_liabilities <= -59.6191 AND retained_earnings_to_assets <= -0.0000,0.203,0.7935,9.2364,0.6468,0.1467,cash_to_current_liabilities,LOW,-59.61913,-1.327272,retained_earnings_to_assets,LOW,-2.9e-05,0.0,,,,
L2-15,2,Attr45=LOW & Attr63=LOW,Attr46=LOW,2,Attr45 <= 0.0000 AND Attr63 <= 2.8486,0.2132,0.7931,9.232,0.6669,0.1262,Attr45,LOW,0.0,0.282825,Attr63,LOW,2.848635,5.374712,,,,
L2-16,2,Attr35=LOW & Attr52=HIGH,Attr46=LOW,2,Attr35 <= 0.0000 AND Attr52 >= 0.3604,0.2122,0.7924,9.2237,0.6468,0.1456,Attr35,LOW,3e-06,0.064603,Attr52,HIGH,0.188382,0.360413,,,,
L2-17,2,Attr26=LOW & Attr38=LOW,Attr46=LOW,2,Attr26 <= 0.0264 AND Attr38 <= 0.3402,0.2354,0.7913,9.2108,0.5882,0.203,Attr26,LOW,0.026359,0.162428,Attr38,LOW,0.340209,0.57909,,,,
L2-18,2,Attr13=LOW & Attr52=HIGH,Attr46=LOW,2,Attr13 <= 0.0110 AND Attr52 >= 0.3604,0.2048,0.7893,9.1876,0.6474,0.1419,Attr13,LOW,0.010992,0.053738,Attr52,HIGH,0.188382,0.360413,,,,
L2-19,2,Attr25=LOW & Attr52=HIGH,Attr46=LOW,2,Attr25 <= 0.0920 AND Attr52 >= 0.3604,0.2113,0.7889,9.1834,0.6652,0.1237,Attr25,LOW,0.092,0.35605,Attr52,HIGH,0.188382,0.360413,,,,
L2-20,2,Attr30=HIGH & Attr49=LOW,Attr46=LOW,2,Attr30 >= 0.4212 AND Attr49 <= -0.0214,0.2113,0.7862,9.1518,0.6298,0.1565,Attr30,HIGH,0.194485,0.421248,Attr49,LOW,-0.021379,0.01726,,,,
L2-21,2,retained_earnings_to_assets=LOW & working_capital_to_assets=LOW,Attr26=LOW,2,retained_earnings_to_assets <= -0.0000 AND working_capital_to_assets <= -0.0227,0.2076,0.786,9.149,0.6534,0.1326,retained_earnings_to_assets,LOW,-2.9e-05,0.0,working_capital_to_assets,LOW,-0.022715,0.206857,,,,
L2-22,2,Attr49=LOW & Attr63=LOW,Attr46=LOW,2,Attr49 <= -0.0214 AND Attr63 <= 2.8486,0.2178,0.786,9.1488,0.6436,0.1424,Attr49,LOW,-0.021379,0.01726,Attr63,LOW,2.848635,5.374712,,,,
L2-23,2,Attr25=LOW & Attr63=LOW,Attr26=LOW,2,Attr25 <= 0.0920 AND Attr63 <= 2.8486,0.228,0.7859,9.1487,0.6505,0.1354,Attr25,LOW,0.092,0.35605,Attr63,LOW,2.848635,5.374712,,,,
L2-24,2,Attr25=LOW & Attr30=HIGH,Attr46=LOW,2,Attr25 <= 0.0920 AND Attr30 >= 0.4212,0.2243,0.7857,9.146,0.638,0.1477,Attr25,LOW,0.092,0.35605,Attr30,HIGH,0.194485,0.421248,,,,
L2-25,2,Attr13=LOW & Attr38=LOW,Attr46=LOW,2,Attr13 <= 0.0110 AND Attr38 <= 0.3402,0.2206,0.7855,9.1433,0.5727,0.2128,Attr13,LOW,0.010992,0.053738,Attr38,LOW,0.340209,0.57909,,,,
L2-26,2,Attr24=LOW & Attr63=LOW,Attr46=LOW,2,Attr24 <= 0.0022 AND Attr63 <= 2.8486,0.2178,0.7807,9.088,0.6661,0.1146,Attr24,LOW,0.002155,0.1551,Attr63,LOW,2.848635,5.374712,,,,
L2-27,2,Attr30=HIGH & Attr45=LOW,Attr46=LOW,2,Attr30 >= 0.4212 AND Attr45 <= 0.0000,0.2057,0.7762,9.0356,0.6415,0.1347,Attr30,HIGH,0.194485,0.421248,Attr45,LOW,0.0,0.282825,,,,
L2-28,2,Attr24=LOW & Attr30=HIGH,Attr46=LOW,2,Attr24 <= 0.0022 AND Attr30 >= 0.4212,0.215,0.7759,9.032,0.6538,0.1221,Attr24,LOW,0.002155,0.1551,Attr30,HIGH,0.194485,0.421248,,,,
L2-29,2,Attr52=HIGH & Attr55=LOW,Attr38=LOW,2,Attr52 >= 0.3604 AND Attr55 <= -65.7906,0.2141,0.7752,9.0233,0.6596,0.1156,Attr52,HIGH,0.188382,0.360413,Attr55,LOW,-65.79062,1104.483,,,,
L2-30,2,Attr13=LOW & Attr30=HIGH,Attr46=LOW,2,Attr13 <= 0.0110 AND Attr30 >= 0.4212,0.2196,0.7745,9.0156,0.6342,0.1403,Attr13,LOW,0.010992,0.053738,Attr30,HIGH,0.194485,0.421248,,,,
L2-31,2,Attr30=HIGH & Attr35=LOW,Attr46=LOW,2,Attr30 >= 0.4212 AND Attr35 <= 0.0000,0.2317,0.774,9.0096,0.6168,0.1572,Attr30,HIGH,0.194485,0.421248,Attr35,LOW,3e-06,0.064603,,,,
L2-32,2,Attr55=LOW & Attr63=LOW,Attr26=LOW,2,Attr55 <= -65.7906 AND Attr63 <= 2.8486,0.2252,0.7714,8.9797,0.575,0.1964,Attr55,LOW,-65.79062,1104.483,Attr63,LOW,2.848635,5.374712,,,,
L2-33,2,Attr25=LOW & Attr45=LOW,Attr46=LOW,2,Attr25 <= 0.0920 AND Attr45 <= 0.0000,0.2104,0.7695,8.9572,0.5724,0.1971,Attr25,LOW,0.092,0.35605,Attr45,LOW,0.0,0.282825,,,,
L2-34,2,Attr63=LOW & working_capital_to_assets=LOW,Attr26=LOW,2,Attr63 <= 2.8486 AND working_capital_to_assets <= -0.0227,0.2289,0.7695,8.9569,0.5896,0.1798,Attr63,LOW,2.848635,5.374712,working_capital_to_assets,LOW,-0.022715,0.206857,,,,
L2-35,2,cash_to_current_liabilities=LOW & working_capital_to_assets=LOW,Attr38=LOW,2,cash_to_current_liabilities <= -59.6191 AND working_capital_to_assets <= -0.0227,0.2382,0.7695,8.9568,0.638,0.1315,cash_to_current_liabilities,LOW,-59.61913,-1.327272,working_capital_to_assets,LOW,-0.022715,0.206857,,,,
L2-36,2,Attr13=LOW & Attr63=LOW,Attr46=LOW,2,Attr13 <= 0.0110 AND Attr63 <= 2.8486,0.2224,0.7692,8.9542,0.6416,0.1277,Attr13,LOW,0.010992,0.053738,Attr63,LOW,2.848635,5.374712,,,,
L2-37,2,Attr46=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,2,Attr46 <= 0.5242 AND retained_earnings_to_assets <= -0.0000,0.2243,0.7683,8.9428,0.64,0.1282,Attr46,LOW,0.524184,0.984985,retained_earnings_to_assets,LOW,-2.9e-05,0.0,,,,
L2-38,2,Attr24=LOW & Attr25=LOW,Attr46=LOW,2,Attr24 <= 0.0022 AND Attr25 <= 0.0920,0.2289,0.7671,8.9291,0.5658,0.2013,Attr24,LOW,0.002155,0.1551,Attr25,LOW,0.092,0.35605,,,,
L2-39,2,Attr26=LOW & Attr52=HIGH,Attr46=LOW,2,Attr26 <= 0.0264 AND Attr52 >= 0.3604,0.2187,0.7662,8.9193,0.641,0.1252,Attr26,LOW,0.026359,0.162428,Attr52,HIGH,0.188382,0.360413,,,,
L2-40,2,Attr55=LOW & cash_to_current_liabilities=LOW,Attr38=LOW,2,Attr55 <= -65.7906 AND cash_to_current_liabilities <= -59.6191,0.2335,0.7636,8.889,0.6266,0.1371,Attr55,LOW,-65.79062,1104.483,cash_to_current_liabilities,LOW,-59.61913,-1.327272,,,,
L2-41,2,Attr30=HIGH & working_capital_to_assets=LOW,Attr25=LOW,2,Attr30 >= 0.4212 AND working_capital_to_assets <= -0.0227,0.2206,0.7628,8.8795,0.6529,0.1099,Attr30,HIGH,0.194485,0.421248,working_capital_to_assets,LOW,-0.022715,0.206857,,,,
