factor_id,layer,antecedents_str,consequents_str,n_conditions,conditions_detail,support,confidence,lift_vs_baseline,conf_safe,conf_diff,cond1_var,cond1_bin,cond1_p33,cond1_p67,cond2_var,cond2_bin,cond2_p33,cond2_p67,cond3_var,cond3_bin,cond3_p33,cond3_p67
L2-01,2,Attr30=HIGH & retained_earnings_to_assets=LOW,Attr26=LOW,2,Attr30 >= 0.4241 AND retained_earnings_to_assets <= -0.0004,0.2058,0.8179,9.3396,0.66,0.1579,Attr30,HIGH,0.191288,0.424063,retained_earnings_to_assets,LOW,-0.000375,0.0,,,,
L2-02,2,Attr63=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,2,Attr63 <= 2.8383 AND retained_earnings_to_assets <= -0.0004,0.212,0.8082,9.2295,0.6661,0.1421,Attr63,LOW,2.838294,5.437772,retained_earnings_to_assets,LOW,-0.000375,0.0,,,,
L2-03,2,Attr57=LOW,Attr26=LOW,1,Attr57 <= 0.0051,0.3648,0.8072,9.2174,0.6944,0.1128,Attr57,LOW,0.005093,0.162371,,,,,,,,
L2-04,2,Attr55=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,2,Attr55 <= -65.9609 AND retained_earnings_to_assets <= -0.0004,0.2058,0.7979,9.1118,0.6337,0.1642,Attr55,LOW,-65.96091,1135.306,retained_earnings_to_assets,LOW,-0.000375,0.0,,,,
L2-05,2,Attr53=LOW & retained_earnings_to_assets=LOW,Attr26=LOW,2,Attr53 <= 0.5836 AND retained_earnings_to_assets <= -0.0004,0.2084,0.7864,8.9808,0.6443,0.1422,Attr53,LOW,0.583556,1.304506,retained_earnings_to_assets,LOW,-0.000375,0.0,,,,
L2-06,2,retained_earnings_to_assets=LOW & working_capital_to_assets=LOW,Attr26=LOW,2,retained_earnings_to_assets <= -0.0004 AND working_capital_to_assets <= -0.0224,0.2084,0.7838,8.9505,0.6382,0.1456,retained_earnings_to_assets,LOW,-0.000375,0.0,working_capital_to_assets,LOW,-0.022392,0.20771,,,,
L2-07,2,Attr25=LOW & Attr30=HIGH,Attr26=LOW,2,Attr25 <= 0.0930 AND Attr30 >= 0.4241,0.2174,0.7832,8.9435,0.6411,0.1421,Attr25,LOW,0.092956,0.352631,Attr30,HIGH,0.191288,0.424063,,,,
L2-08,2,Attr25=LOW & Attr63=LOW,Attr26=LOW,2,Attr25 <= 0.0930 AND Attr63 <= 2.8383,0.2246,0.7788,8.8938,0.6446,0.1342,Attr25,LOW,0.092956,0.352631,Attr63,LOW,2.838294,5.437772,,,,
L2-09,2,Attr53=LOW & cash_to_current_liabilities=LOW,Attr38=LOW,2,Attr53 <= 0.5836 AND cash_to_current_liabilities <= -60.7390,0.2273,0.7737,8.8353,0.6592,0.1145,Attr53,LOW,0.583556,1.304506,cash_to_current_liabilities,LOW,-60.739,-1.737812,,,,
L2-10,2,Attr25=LOW & Attr52=HIGH,Attr26=LOW,2,Attr25 <= 0.0930 AND Attr52 >= 0.3590,0.2058,0.7608,8.688,0.6233,0.1375,Attr25,LOW,0.092956,0.352631,Attr52,HIGH,0.184668,0.358951,,,,
L2-11,2,Attr63=LOW & working_capital_to_assets=LOW,Attr25=LOW,2,Attr63 <= 2.8383 AND working_capital_to_assets <= -0.0224,0.2255,0.7606,8.6858,0.6394,0.1212,Attr63,LOW,2.838294,5.437772,working_capital_to_assets,LOW,-0.022392,0.20771,,,,
L2-12,2,Attr55=LOW & Attr63=LOW,Attr38=LOW,2,Attr55 <= -65.9609 AND Attr63 <= 2.8383,0.2201,0.7585,8.6619,0.656,0.1025,Attr55,LOW,-65.96091,1135.306,Attr63,LOW,2.838294,5.437772,,,,
L2-13,2,Attr52=HIGH & Attr55=LOW,Attr38=LOW,2,Attr52 >= 0.3590 AND Attr55 <= -65.9609,0.2111,0.7581,8.6568,0.6476,0.1105,Attr52,HIGH,0.184668,0.358951,Attr55,LOW,-65.96091,1135.306,,,,
L2-14,2,cash_to_current_liabilities=LOW & working_capital_to_assets=LOW,Attr38=LOW,2,cash_to_current_liabilities <= -60.7390 AND working_capital_to_assets <= -0.0224,0.2345,0.7565,8.6392,0.6287,0.1278,cash_to_current_liabilities,LOW,-60.739,-1.737812,working_capital_to_assets,LOW,-0.022392,0.20771,,,,
L2-15,2,Attr25=LOW & cash_to_current_liabilities=LOW,Attr26=LOW,2,Attr25 <= 0.0930 AND cash_to_current_liabilities <= -60.7390,0.204,0.7542,8.6121,0.6235,0.1306,Attr25,LOW,0.092956,0.352631,cash_to_current_liabilities,LOW,-60.739,-1.737812,,,,
L2-16,2,Attr30=HIGH & working_capital_to_assets=LOW,Attr25=LOW,2,Attr30 >= 0.4241 AND working_capital_to_assets <= -0.0224,0.2174,0.7539,8.6092,0.635,0.1189,Attr30,HIGH,0.191288,0.424063,working_capital_to_assets,LOW,-0.022392,0.20771,,,,
