bracket,n_train,dr_train,lift_train,n_holdout,dr_holdout,lift_holdout
0,308,0.025974025974025976,0.3023482541554831,96,0.03125,0.38187741312741313
1–2,1430,0.044055944055944055,0.5128291541637232,318,0.0440251572327044,0.5379908210096889
3–4,1626,0.04858548585485855,0.5655548677822274,436,0.0389908256880734,0.4764709007828274
5–9,2047,0.0625305324865657,0.7278808971559456,489,0.06339468302658487,0.7746879219271857
10–19,1709,0.07197191339964892,0.8377824210376187,442,0.09954751131221719,1.2164782753018046
20–49,3545,0.11057827926657264,1.287176262824979,927,0.09385113268608414,1.1468680886156613
50+,1895,0.15092348284960422,1.756810884699749,457,0.13785557986870897,1.6846058312141463
