factor_id,layer,variable,definition,direction,OR_mle,rank_biserial,firth_fdr_q,trigger_bin,trigger_condition,trigger_pct,threshold_p33,threshold_p67,risky_median,safe_median
L1-01,1,Attr49,(net profit + depreciation) / total liabilities,risk-reducing,0.7672,0.168,0.0,LOW,<= -0.0214,bottom 33%,-0.0214,0.0173,-0.012,0.0
L1-02,1,equity_to_assets,equity_to_assets,risk-reducing,0.7497,0.1831,0.0,LOW,<= 0.2322,bottom 33%,0.2322,0.4742,0.2629,0.3573
L1-03,1,total_liabilities_to_assets,total_liabilities_to_assets,risk-increasing,1.3254,-0.1781,0.0,HIGH,>= 0.7516,top 33%,0.5008,0.7516,0.7129,0.6216
L1-04,1,Attr48,Attr48,risk-reducing,0.764,0.1747,0.0,LOW,<= -0.0359,bottom 33%,-0.0359,0.0347,-0.0227,0.0
L1-05,1,Attr38,total liabilities / total assets (alt),risk-reducing,0.7167,0.2,0.0,LOW,<= 0.3402,bottom 33%,0.3402,0.5791,0.3681,0.4739
L1-06,1,Attr42,Attr42,risk-reducing,0.7386,0.2091,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.0374,0.0047,0.0183
L1-07,1,Attr32,Attr32,risk-increasing,1.2719,-0.1687,0.0,HIGH,>= 132.4806,top 33%,69.1489,132.4806,119.89,94.297
L1-08,1,Attr11,Attr11,risk-reducing,0.7173,0.2115,0.0,LOW,<= 0.0047,bottom 33%,0.0047,0.0762,0.0092,0.0406
L1-09,1,Attr22,Attr22,risk-reducing,0.691,0.2177,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.0703,0.0067,0.0347
L1-10,1,Attr31,Attr31,risk-reducing,0.7596,0.218,0.0,LOW,<= 0.0004,bottom 33%,0.0004,0.0371,0.002,0.0181
L1-11,1,Attr62,Attr62,risk-increasing,1.2882,-0.182,0.0,HIGH,>= 126.8206,top 33%,67.4772,126.8206,118.59,91.439
L1-12,1,Attr23,Attr23,risk-reducing,0.7488,0.2371,0.0,LOW,<= -0.0042,bottom 33%,-0.0042,0.0244,-0.0011,0.01
L1-13,1,Attr25,equity / total assets (alt),risk-reducing,0.7419,0.2277,0.0,LOW,<= 0.0920,bottom 33%,0.092,0.3561,0.1124,0.2334
L1-14,1,Attr18,Attr18,risk-reducing,0.7018,0.2403,0.0,LOW,<= -0.0069,bottom 33%,-0.0069,0.0566,-0.0046,0.0236
L1-15,1,Attr14,Attr14,risk-reducing,0.7018,0.2403,0.0,LOW,<= -0.0069,bottom 33%,-0.0069,0.0566,-0.0046,0.0236
L1-16,1,ebit_to_assets,ebit_to_assets,risk-reducing,0.7018,0.2403,0.0,LOW,<= -0.0069,bottom 33%,-0.0069,0.0566,-0.0046,0.0236
L1-17,1,Attr19,Attr19,risk-reducing,0.7412,0.2412,0.0,LOW,<= -0.0034,bottom 33%,-0.0034,0.03,-0.0018,0.0128
L1-18,1,Attr13,gross profit + depreciation / sales,risk-reducing,0.7193,0.2664,0.0,LOW,<= 0.0110,bottom 33%,0.011,0.0537,0.0072,0.0332
L1-19,1,Attr39,Attr39,risk-reducing,0.7111,0.2703,0.0,LOW,<= 0.0001,bottom 33%,0.0001,0.0342,-0.0104,0.0165
L1-20,1,Attr35,total sales / total assets (alt),risk-reducing,0.6498,0.2719,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.0646,-0.0183,0.0299
L1-21,1,Attr51,Attr51,risk-increasing,1.3371,-0.1669,0.0,HIGH,>= 0.6096,top 33%,0.367,0.6096,0.5632,0.4736
L1-22,1,net_profit_to_assets,net_profit_to_assets,risk-reducing,0.7088,0.2385,0.0,LOW,<= -0.0084,bottom 33%,-0.0084,0.0463,-0.0047,0.0186
L1-23,1,working_capital_to_assets,Attr3  — working capital / total assets,risk-reducing,0.7306,0.1796,0.0,LOW,<= -0.0227,bottom 33%,-0.0227,0.2069,0.0075,0.0937
L1-24,1,Attr30,total liabilities / cash,risk-increasing,1.2222,-0.1655,5.458596537740352e-16,HIGH,>= 0.4212,top 33%,0.1945,0.4212,0.3646,0.2816
L1-25,1,Attr24,gross profit (3-year avg) / total assets,risk-reducing,0.7802,0.2534,1.048050535246148e-15,LOW,<= 0.0022,bottom 33%,0.0022,0.1551,0.0047,0.076
L1-26,1,Attr52,short-term liabilities / sales,risk-increasing,1.2077,-0.129,1.5619983938764704e-14,HIGH,>= 0.3604,top 33%,0.1884,0.3604,0.3114,0.2584
